wavelength(nm),reflectance,diffuse_transmittance
350,0.06186,0
351,0.06026,0
352,0.05827,0
353,0.05718,0
354,0.05738,0
355,0.0577,0
356,0.05742,0
357,0.05665,0
358,0.05529,0
359,0.05359,0
360,0.05234,0
361,0.05377,0
362,0.05336,0
363,0.05175,0
364,0.05101,0
365,0.05074,0
366,0.05,0
367,0.04939,0
368,0.0502,0
369,0.04996,0
370,0.04936,0
371,0.0487,0
372,0.04722,0
373,0.04665,0
374,0.04698,0
375,0.04745,0
376,0.04648,0
377,0.04719,0
378,0.04887,0
379,0.0494,0
380,0.04857,0
381,0.04728,0
382,0.0466,0
383,0.04731,0
384,0.04683,0
385,0.04621,0
386,0.04617,0
387,0.04596,0
388,0.04519,0
389,0.04499,0
390,0.04599,0
391,0.04573,0
392,0.04558,0
393,0.0455,0
394,0.04482,0
395,0.0442,0
396,0.04431,0
397,0.04483,0
398,0.04445,0
399,0.04413,0
400,0.04405,0.00018
401,0.04411,0.00017
402,0.04396,0.00016
403,0.04389,0.00015
404,0.04414,0.00014
405,0.04474,0.00014
406,0.04465,0.00014
407,0.04446,0.00014
408,0.04435,0.00014
409,0.04412,0.00014
410,0.0443,0.00014
411,0.04464,0.00014
412,0.04477,0.00014
413,0.04433,0.00014
414,0.04446,0.00014
415,0.04465,0.00014
416,0.04429,0.00014
417,0.0444,0.00015
418,0.0446,0.00015
419,0.04452,0.00015
420,0.04399,0.00015
421,0.04448,0.00015
422,0.04498,0.00015
423,0.04489,0.00015
424,0.04475,0.00015
425,0.04454,0.00016
426,0.04448,0.00016
427,0.04467,0.00016
428,0.04475,0.00015
429,0.0446,0.00016
430,0.04445,0.00015
431,0.04469,0.00015
432,0.04469,0.00015
433,0.04456,0.00015
434,0.04445,0.00015
435,0.04438,0.00015
436,0.04441,0.00015
437,0.04446,0.00015
438,0.04447,0.00015
439,0.04443,0.00015
440,0.0444,0.00016
441,0.04438,0.00016
442,0.04437,0.00017
443,0.04434,0.00018
444,0.04443,0.0002
445,0.04461,0.00021
446,0.04454,0.00022
447,0.04453,0.00024
448,0.04461,0.00026
449,0.04473,0.00029
450,0.04474,0.00032
451,0.04475,0.00035
452,0.04475,0.00039
453,0.04473,0.00043
454,0.0448,0.00047
455,0.04492,0.00052
456,0.045,0.00056
457,0.04497,0.00061
458,0.04493,0.00066
459,0.04489,0.00071
460,0.04484,0.00075
461,0.0448,0.0008
462,0.04481,0.00084
463,0.04485,0.00087
464,0.04489,0.00092
465,0.04492,0.00096
466,0.04498,0.001
467,0.04502,0.00104
468,0.04489,0.00108
469,0.04483,0.00111
470,0.04485,0.00114
471,0.04491,0.00116
472,0.04483,0.00119
473,0.04482,0.00121
474,0.04487,0.00123
475,0.04485,0.00125
476,0.04493,0.00127
477,0.045,0.00129
478,0.04498,0.00132
479,0.04501,0.00135
480,0.04507,0.00138
481,0.04511,0.00142
482,0.0451,0.00148
483,0.0451,0.00154
484,0.04514,0.00162
485,0.0452,0.00171
486,0.04517,0.00182
487,0.0453,0.00195
488,0.04545,0.00211
489,0.04548,0.00231
490,0.04553,0.00253
491,0.04564,0.00278
492,0.04578,0.00307
493,0.04589,0.00341
494,0.04597,0.00379
495,0.04608,0.00422
496,0.04626,0.00472
497,0.04649,0.00528
498,0.04666,0.00592
499,0.04684,0.00663
500,0.04711,0.00745
501,0.04746,0.00835
502,0.04791,0.00935
503,0.04839,0.01046
504,0.04878,0.0117
505,0.0493,0.01305
506,0.04992,0.01454
507,0.05062,0.01618
508,0.05142,0.01795
509,0.0523,0.01989
510,0.05331,0.02198
511,0.05446,0.02425
512,0.05576,0.0267
513,0.05717,0.02934
514,0.05871,0.03212
515,0.06043,0.03509
516,0.06228,0.03819
517,0.06429,0.04142
518,0.06643,0.04477
519,0.06858,0.04821
520,0.07094,0.05173
521,0.07341,0.05529
522,0.07581,0.05891
523,0.07824,0.0625
524,0.08067,0.06604
525,0.08305,0.06949
526,0.08529,0.07285
527,0.08743,0.07609
528,0.08944,0.07918
529,0.09129,0.0821
530,0.09296,0.0849
531,0.09446,0.08753
532,0.09582,0.08999
533,0.09707,0.09229
534,0.09814,0.09443
535,0.09906,0.0964
536,0.09985,0.09823
537,0.10047,0.09992
538,0.10101,0.10151
539,0.10151,0.10298
540,0.10193,0.10427
541,0.10229,0.10561
542,0.1026,0.10684
543,0.1029,0.10802
544,0.10318,0.10916
545,0.10345,0.11032
546,0.10372,0.11145
547,0.10399,0.11258
548,0.1042,0.11365
549,0.1044,0.11475
550,0.10456,0.11567
551,0.10461,0.1165
552,0.10456,0.11716
553,0.10441,0.11773
554,0.10415,0.11811
555,0.10366,0.1183
556,0.10306,0.11818
557,0.10236,0.11796
558,0.10152,0.11743
559,0.10053,0.11668
560,0.09943,0.11583
561,0.09823,0.1148
562,0.09694,0.1136
563,0.09551,0.11226
564,0.094,0.11077
565,0.09244,0.10914
566,0.09083,0.10739
567,0.08917,0.10552
568,0.08751,0.10354
569,0.08587,0.10145
570,0.08422,0.09935
571,0.0826,0.09715
572,0.08106,0.095
573,0.07958,0.09292
574,0.07818,0.0909
575,0.07686,0.08897
576,0.07562,0.08709
577,0.07446,0.08538
578,0.07338,0.08377
579,0.07238,0.08224
580,0.07145,0.0808
581,0.07056,0.07944
582,0.06973,0.07815
583,0.06896,0.07693
584,0.06822,0.07579
585,0.06754,0.07478
586,0.06691,0.07377
587,0.06631,0.07282
588,0.06573,0.072
589,0.0652,0.07122
590,0.06474,0.0705
591,0.06436,0.06988
592,0.06398,0.06926
593,0.06362,0.06875
594,0.06331,0.06828
595,0.06305,0.06791
596,0.06278,0.0675
597,0.0625,0.06714
598,0.06223,0.06678
599,0.062,0.06637
600,0.06177,0.06596
601,0.0615,0.06547
602,0.0612,0.06495
603,0.06088,0.06432
604,0.06053,0.0636
605,0.06015,0.06282
606,0.05974,0.06194
607,0.05932,0.06095
608,0.0589,0.05989
609,0.05842,0.05877
610,0.05793,0.05763
611,0.05744,0.05648
612,0.05695,0.05532
613,0.05647,0.05411
614,0.05603,0.05292
615,0.0556,0.05178
616,0.05515,0.05068
617,0.05474,0.04965
618,0.05438,0.04866
619,0.05405,0.04779
620,0.05374,0.04703
621,0.05348,0.04634
622,0.05326,0.04579
623,0.05307,0.0453
624,0.05292,0.04488
625,0.05278,0.04458
626,0.05266,0.0443
627,0.05259,0.04412
628,0.0525,0.04401
629,0.05242,0.04386
630,0.05237,0.04374
631,0.0523,0.04356
632,0.0522,0.04329
633,0.05206,0.04294
634,0.05189,0.04244
635,0.05167,0.04179
636,0.05138,0.04101
637,0.05105,0.04003
638,0.05071,0.03892
639,0.05032,0.03766
640,0.04988,0.03631
641,0.04941,0.03488
642,0.04897,0.03341
643,0.04857,0.03191
644,0.04819,0.03042
645,0.0478,0.02899
646,0.04746,0.02763
647,0.04717,0.02636
648,0.04691,0.02521
649,0.04669,0.02419
650,0.04653,0.02329
651,0.04642,0.0225
652,0.04633,0.02179
653,0.04626,0.02109
654,0.04619,0.0204
655,0.04611,0.01966
656,0.04604,0.01886
657,0.04595,0.01796
658,0.04586,0.01698
659,0.04578,0.01594
660,0.04568,0.01486
661,0.04559,0.01375
662,0.04552,0.01267
663,0.04544,0.01164
664,0.04539,0.01068
665,0.0454,0.00981
666,0.04544,0.00904
667,0.04549,0.00837
668,0.04558,0.00781
669,0.04571,0.00735
670,0.04588,0.00699
671,0.04611,0.0067
672,0.04636,0.00649
673,0.04662,0.00635
674,0.04692,0.00626
675,0.04726,0.00622
676,0.04763,0.00624
677,0.04803,0.00631
678,0.04848,0.00646
679,0.04896,0.0067
680,0.04947,0.00706
681,0.05002,0.00759
682,0.05057,0.00835
683,0.05114,0.00937
684,0.05172,0.01078
685,0.05231,0.01264
686,0.05294,0.01507
687,0.05364,0.0182
688,0.05443,0.02214
689,0.0554,0.027
690,0.05663,0.03287
691,0.05823,0.03981
692,0.06031,0.04779
693,0.06302,0.05679
694,0.06646,0.06673
695,0.07071,0.07752
696,0.07584,0.08897
697,0.08182,0.10103
698,0.08867,0.11346
699,0.09633,0.12612
700,0.1047,0.13893
701,0.11366,0.15179
702,0.1231,0.16438
703,0.13288,0.17681
704,0.14287,0.18894
705,0.15296,0.20074
706,0.16309,0.21218
707,0.17321,0.22335
708,0.18326,0.23429
709,0.19322,0.24486
710,0.20308,0.2553
711,0.21282,0.26544
712,0.22245,0.27541
713,0.23195,0.2852
714,0.24131,0.29484
715,0.25053,0.30427
716,0.2596,0.31352
717,0.2685,0.32259
718,0.27723,0.33144
719,0.2858,0.34013
720,0.29419,0.34857
721,0.30237,0.35683
722,0.31034,0.36485
723,0.31808,0.37263
724,0.32559,0.38014
725,0.33282,0.38742
726,0.33982,0.39437
727,0.34656,0.40111
728,0.353,0.4075
729,0.35917,0.41366
730,0.36506,0.41955
731,0.3707,0.42509
732,0.37607,0.43045
733,0.38112,0.43553
734,0.38589,0.44027
735,0.39041,0.44474
736,0.39467,0.44896
737,0.39869,0.45296
738,0.40246,0.45671
739,0.40598,0.46022
740,0.40927,0.4635
741,0.41233,0.46653
742,0.41517,0.46938
743,0.41777,0.47199
744,0.42016,0.47443
745,0.42236,0.47672
746,0.42435,0.47881
747,0.42615,0.48073
748,0.42777,0.48252
749,0.42925,0.48415
750,0.43061,0.48564
751,0.43183,0.48706
752,0.43288,0.48846
753,0.43381,0.48979
754,0.43465,0.49107
755,0.43539,0.49232
756,0.43607,0.49348
757,0.43666,0.49462
758,0.43715,0.4957
759,0.43758,0.49672
760,0.43797,0.49769
761,0.4383,0.4986
762,0.43859,0.49949
763,0.4388,0.50029
764,0.43896,0.50108
765,0.4391,0.50182
766,0.43919,0.50251
767,0.43928,0.50312
768,0.43938,0.50376
769,0.43945,0.50432
770,0.43948,0.50483
771,0.43948,0.50531
772,0.43947,0.50579
773,0.43946,0.50619
774,0.43945,0.50659
775,0.43944,0.50693
776,0.4394,0.50726
777,0.43937,0.50753
778,0.43934,0.50777
779,0.43932,0.50803
780,0.4393,0.50821
781,0.43931,0.50837
782,0.4393,0.50853
783,0.43925,0.50869
784,0.43921,0.50885
785,0.4392,0.50901
786,0.43921,0.50917
787,0.43921,0.50934
788,0.43919,0.50953
789,0.43917,0.50969
790,0.43915,0.50982
791,0.43914,0.50997
792,0.43916,0.51012
793,0.43915,0.51027
794,0.43912,0.51042
795,0.43909,0.51058
796,0.43909,0.51073
797,0.43909,0.51088
798,0.43909,0.51103
799,0.43909,0.51118
800,0.43909,0.5113
801,0.43909,0.51144
802,0.43907,0.51158
803,0.43907,0.51173
804,0.43907,0.51184
805,0.43906,0.51198
806,0.43907,0.51212
807,0.43906,0.51227
808,0.43907,0.51241
809,0.43909,0.51252
810,0.43908,0.51266
811,0.43909,0.51276
812,0.4391,0.51289
813,0.43909,0.51298
814,0.43908,0.51312
815,0.43906,0.51325
816,0.43906,0.51334
817,0.43909,0.51347
818,0.43911,0.51357
819,0.43913,0.5137
820,0.43913,0.51379
821,0.43914,0.51391
822,0.43912,0.514
823,0.43912,0.51412
824,0.43914,0.51424
825,0.43915,0.51436
826,0.43917,0.51443
827,0.4392,0.51455
828,0.43922,0.51463
829,0.43924,0.51474
830,0.43924,0.51485
831,0.43925,0.51492
832,0.43928,0.51503
833,0.4393,0.5151
834,0.43933,0.51517
835,0.43936,0.51525
836,0.43939,0.51537
837,0.43944,0.51544
838,0.43949,0.51556
839,0.43953,0.51564
840,0.43956,0.51576
841,0.4396,0.51584
842,0.43964,0.51595
843,0.43963,0.51603
844,0.43965,0.51614
845,0.43968,0.51622
846,0.43971,0.51633
847,0.43974,0.51641
848,0.43978,0.51653
849,0.43983,0.5166
850,0.43989,0.51672
851,0.43993,0.51679
852,0.43996,0.51686
853,0.43999,0.51693
854,0.44001,0.51704
855,0.44005,0.51712
856,0.44007,0.51719
857,0.4401,0.51726
858,0.44013,0.51737
859,0.44014,0.51744
860,0.44015,0.51755
861,0.44017,0.51765
862,0.44019,0.51772
863,0.44022,0.51782
864,0.44024,0.51789
865,0.44025,0.51795
866,0.4403,0.51798
867,0.4403,0.51805
868,0.4403,0.51812
869,0.44032,0.51818
870,0.44035,0.51829
871,0.44036,0.51834
872,0.44036,0.51844
873,0.44038,0.51854
874,0.44043,0.5186
875,0.44044,0.5187
876,0.44043,0.51876
877,0.44043,0.51885
878,0.44044,0.51892
879,0.44042,0.51901
880,0.44039,0.51907
881,0.4404,0.51916
882,0.44042,0.51922
883,0.44045,0.51927
884,0.44047,0.51936
885,0.44047,0.51946
886,0.44051,0.51952
887,0.44053,0.51961
888,0.44051,0.51966
889,0.44051,0.51976
890,0.44052,0.51981
891,0.44052,0.5199
892,0.44053,0.51995
893,0.44056,0.52004
894,0.44054,0.5201
895,0.44051,0.52018
896,0.44048,0.52023
897,0.44048,0.52032
898,0.44047,0.52037
899,0.44045,0.52046
900,0.44043,0.52051
901,0.44047,0.52056
902,0.44046,0.52063
903,0.44043,0.52068
904,0.44041,0.52076
905,0.44043,0.52081
906,0.44046,0.52085
907,0.44047,0.52093
908,0.44044,0.52097
909,0.44044,0.52105
910,0.44043,0.5211
