wavelength(nm),reflectance,diffuse_transmittancee
350,0.10418,0
351,0.10302,0
352,0.1015,0
353,0.10214,0
354,0.10131,0
355,0.10024,0
356,0.09921,0
357,0.09677,0
358,0.09752,0
359,0.09783,0
360,0.09558,0
361,0.09578,0
362,0.09431,0
363,0.09273,0
364,0.09344,0
365,0.09325,0
366,0.09331,0
367,0.09388,0
368,0.09446,0
369,0.09502,0
370,0.09514,0
371,0.09486,0
372,0.0949,0
373,0.09511,0
374,0.09507,0
375,0.09459,0
376,0.09416,0
377,0.09357,0
378,0.09355,0
379,0.09462,0
380,0.0943,0
381,0.09421,0
382,0.09478,0
383,0.09519,0
384,0.09435,0
385,0.09434,0
386,0.09549,0
387,0.09456,0
388,0.09432,0
389,0.0945,0
390,0.09434,0
391,0.09421,0
392,0.09414,0
393,0.09463,0
394,0.09595,0
395,0.09542,0
396,0.09515,0
397,0.0955,0
398,0.0945,0
399,0.09389,0
400,0.09403,0
401,0.09452,0
402,0.09394,0
403,0.09371,0
404,0.09407,0
405,0.09456,0
406,0.09386,0
407,0.09357,0
408,0.09387,0
409,0.09365,0
410,0.09325,0
411,0.09314,0
412,0.09346,0
413,0.09374,0
414,0.09378,0
415,0.09372,0
416,0.09363,0
417,0.09271,0
418,0.09285,0
419,0.09369,0
420,0.09349,0
421,0.09321,0
422,0.09344,0
423,0.09401,0
424,0.09368,0
425,0.09361,0
426,0.09375,0
427,0.09381,0
428,0.09381,0
429,0.09404,0
430,0.09429,0
431,0.09416,0
432,0.09419,0
433,0.09425,0
434,0.09432,0
435,0.09451,0
436,0.09466,0
437,0.09473,0
438,0.09475,0
439,0.09483,0
440,0.0951,0
441,0.09545,0
442,0.09562,0
443,0.09592,0
444,0.09626,0
445,0.09656,0
446,0.09671,0
447,0.09707,0
448,0.09748,0
449,0.09772,0
450,0.09792,0
451,0.09833,0
452,0.09881,0
453,0.09901,0
454,0.09932,0
455,0.09964,0
456,0.09992,0
457,0.10024,0
458,0.10053,0
459,0.10079,0
460,0.10103,0
461,0.10119,0
462,0.10158,0
463,0.10209,0
464,0.10235,0
465,0.10261,0
466,0.10296,0
467,0.10333,0
468,0.10348,0
469,0.10383,0
470,0.10425,0
471,0.10449,0
472,0.10485,0
473,0.1052,0
474,0.10552,0
475,0.10585,0
476,0.10616,0
477,0.10646,0
478,0.1068,0
479,0.1072,0
480,0.10763,0
481,0.10803,0
482,0.1084,0
483,0.10874,0
484,0.10919,0
485,0.10968,0
486,0.10998,0
487,0.1104,0
488,0.1109,0
489,0.11138,0
490,0.11183,0
491,0.11247,0
492,0.11315,0
493,0.11366,0
494,0.11427,0
495,0.11499,0
496,0.11576,0
497,0.11645,0
498,0.11729,0
499,0.11819,0
500,0.11902,0
501,0.11994,0
502,0.12088,0
503,0.12183,0
504,0.12285,0
505,0.12397,0
506,0.1251,0
507,0.12623,0
508,0.12755,0
509,0.1288,0
510,0.13,0
511,0.13122,0
512,0.13256,0
513,0.13397,0
514,0.13541,0
515,0.13683,0
516,0.13831,0
517,0.13978,0
518,0.14122,0
519,0.14272,0
520,0.14426,0
521,0.14583,0
522,0.14738,0
523,0.14896,0
524,0.15055,0
525,0.15213,0
526,0.15371,0
527,0.15533,0
528,0.15693,0
529,0.15845,0
530,0.16005,0
531,0.16163,0
532,0.16314,0
533,0.16465,0
534,0.16611,0
535,0.16755,0
536,0.16895,0
537,0.17029,0
538,0.1716,0
539,0.17285,0
540,0.17404,0
541,0.17527,0
542,0.17646,0
543,0.17755,0
544,0.17861,0
545,0.17966,0
546,0.18068,0
547,0.18166,0
548,0.18257,0
549,0.18352,0
550,0.18443,0
551,0.1852,0
552,0.18602,0
553,0.18683,0
554,0.18757,0
555,0.18822,0
556,0.18887,0
557,0.18949,0
558,0.19006,0
559,0.19056,0
560,0.19103,0
561,0.19145,0
562,0.19175,0
563,0.19201,0
564,0.19223,0
565,0.1924,0
566,0.19252,0
567,0.19257,0
568,0.19259,0
569,0.1926,0
570,0.19263,0
571,0.19266,0
572,0.19267,0
573,0.19268,0
574,0.19268,0
575,0.19271,0
576,0.19278,0
577,0.19284,0
578,0.1929,0
579,0.19297,0
580,0.19308,0
581,0.19315,0
582,0.19322,0
583,0.19331,0
584,0.19342,0
585,0.19349,0
