wavelength,reflectance,diffuse_transmittance
350,0.06012,0
351,0.05798,0
352,0.05703,0
353,0.05614,0
354,0.05429,0
355,0.05277,0
356,0.05236,0
357,0.05285,0
358,0.05126,0
359,0.05047,0
360,0.05193,0
361,0.05111,0
362,0.04989,0
363,0.04916,0
364,0.0491,0
365,0.04803,0
366,0.04726,0
367,0.04706,0
368,0.04685,0
369,0.04668,0
370,0.04673,0
371,0.04678,0
372,0.04596,0
373,0.04656,0
374,0.04674,0
375,0.04525,0
376,0.04479,0
377,0.04468,0
378,0.04468,0
379,0.04471,0
380,0.04461,0
381,0.0444,0
382,0.04414,0
383,0.04395,0
384,0.04406,0
385,0.04386,0
386,0.04319,0
387,0.04285,0
388,0.04302,0
389,0.04306,0
390,0.04254,0
391,0.04264,0
392,0.04214,0
393,0.04174,0
394,0.04268,0
395,0.04319,0
396,0.04263,0
397,0.04168,0
398,0.04218,0
399,0.042,0
400,0.04147,0.00005
401,0.04114,0.00005
402,0.04096,0.00005
403,0.04094,0.00005
404,0.041,0.00005
405,0.04103,0.00005
406,0.04067,0.00005
407,0.04044,0.00005
408,0.04053,0.00005
409,0.04076,0.00005
410,0.0409,0.00005
411,0.04082,0.00005
412,0.04056,0.00005
413,0.04057,0.00005
414,0.04038,0.00005
415,0.04027,0.00005
416,0.04047,0.00005
417,0.04026,0.00005
418,0.04017,0.00005
419,0.04023,0.00005
420,0.04014,0.00005
421,0.0401,0.00005
422,0.04012,0.00005
423,0.04018,0.00006
424,0.04021,0.00006
425,0.04018,0.00006
426,0.04014,0.00006
427,0.0401,0.00006
428,0.03994,0.00006
429,0.03998,0.00006
430,0.04009,0.00006
431,0.03992,0.00006
432,0.03994,0.00005
433,0.03994,0.00005
434,0.03984,0.00005
435,0.03978,0.00005
436,0.03971,0.00005
437,0.03971,0.00005
438,0.03979,0.00006
439,0.03977,0.00006
440,0.03974,0.00006
441,0.03971,0.00006
442,0.03965,0.00007
443,0.03968,0.00007
444,0.03977,0.00007
445,0.03987,0.00008
446,0.03987,0.00009
447,0.03985,0.00009
448,0.03984,0.0001
449,0.03989,0.00011
450,0.04002,0.00013
451,0.04005,0.00014
452,0.04,0.00016
453,0.04001,0.00018
454,0.04012,0.0002
455,0.0402,0.00022
456,0.04021,0.00024
457,0.04027,0.00027
458,0.04032,0.00029
459,0.04033,0.00031
460,0.04028,0.00034
461,0.04024,0.00036
462,0.04023,0.00038
463,0.04026,0.0004
464,0.04029,0.00042
465,0.04027,0.00045
466,0.04026,0.00047
467,0.04027,0.00049
468,0.04018,0.00051
469,0.0401,0.00052
470,0.04011,0.00054
471,0.0402,0.00055
472,0.04019,0.00057
473,0.04016,0.00058
474,0.04016,0.00059
475,0.04026,0.0006
476,0.04026,0.00061
477,0.04026,0.00062
478,0.04034,0.00064
479,0.0403,0.00065
480,0.04031,0.00067
481,0.04038,0.00069
482,0.04043,0.00072
483,0.04041,0.00076
484,0.04042,0.0008
485,0.04051,0.00085
486,0.04063,0.00092
487,0.04064,0.00099
488,0.04065,0.00108
489,0.04072,0.00119
490,0.04087,0.00132
491,0.04099,0.00147
492,0.04109,0.00165
493,0.0412,0.00185
494,0.0413,0.00208
495,0.04148,0.00236
496,0.04173,0.00267
497,0.04192,0.00303
498,0.04217,0.00344
499,0.04245,0.00391
500,0.04275,0.00446
501,0.04306,0.00507
502,0.04344,0.00576
503,0.04388,0.00654
504,0.04432,0.00741
