wavelength,reflectance,diffuse_transmittance
350,0.09341,0
351,0.09131,0
352,0.09173,0
353,0.09135,0
354,0.08754,0
355,0.08577,0
356,0.08716,0
357,0.08667,0
358,0.086,0
359,0.08486,0
360,0.08358,0
361,0.08482,0
362,0.08536,0
363,0.0849,0
364,0.08424,0
365,0.08366,0
366,0.08391,0
367,0.08419,0
368,0.08303,0
369,0.08325,0
370,0.08305,0
371,0.08203,0
372,0.08233,0
373,0.08227,0
374,0.08207,0
375,0.08204,0
376,0.08165,0
377,0.08185,0
378,0.08165,0
379,0.08005,0
380,0.07986,0
381,0.0803,0
382,0.08061,0
383,0.08031,0
384,0.0796,0
385,0.07926,0
386,0.07961,0
387,0.08028,0
388,0.07977,0
389,0.07922,0
390,0.07971,0
391,0.07968,0
392,0.07907,0
393,0.07866,0
394,0.07931,0
395,0.07911,0
396,0.07846,0
397,0.07803,0
398,0.07843,0
399,0.07798,0
400,0.07753,0
401,0.07765,0
402,0.07708,0
403,0.07642,0
404,0.07614,0
405,0.07644,0
406,0.07636,0
407,0.07605,0
408,0.07577,0
409,0.07574,0
410,0.07542,0
411,0.07509,0
412,0.07498,0
413,0.07503,0
414,0.07474,0
415,0.07441,0
416,0.07438,0
417,0.0742,0
418,0.07415,0
419,0.07414,0
420,0.07383,0
421,0.07393,0
422,0.07396,0
423,0.07373,0
424,0.07379,0
425,0.07361,0
426,0.07337,0
427,0.07334,0
428,0.07347,0
429,0.07337,0
430,0.07316,0
431,0.07324,0
432,0.07319,0
433,0.07309,0
434,0.07304,0
435,0.07318,0
436,0.07325,0
437,0.07331,0
438,0.07342,0
439,0.07338,0
440,0.07349,0
441,0.07371,0
442,0.07385,0
443,0.074,0
444,0.07423,0
445,0.07449,0
446,0.07459,0
447,0.07495,0
448,0.07531,0
449,0.07543,0
450,0.07576,0
451,0.07604,0
452,0.07622,0
453,0.07642,0
454,0.07667,0
455,0.07688,0
456,0.07701,0
457,0.07721,0
458,0.07735,0
459,0.07741,0
460,0.07745,0
461,0.0777,0
462,0.07786,0
463,0.07792,0
464,0.07805,0
465,0.07812,0
466,0.07826,0
467,0.07847,0
468,0.07857,0
469,0.07865,0
470,0.07876,0
471,0.07892,0
472,0.07899,0
473,0.07906,0
474,0.07919,0
475,0.07937,0
476,0.07953,0
477,0.07966,0
478,0.07976,0
479,0.07992,0
480,0.08006,0
481,0.08018,0
482,0.08033,0
483,0.08052,0
484,0.08072,0
485,0.08095,0
486,0.08125,0
487,0.08147,0
488,0.08175,0
489,0.08219,0
490,0.08262,0
491,0.08303,0
492,0.08349,0
493,0.08406,0
494,0.08462,0
495,0.08526,0
496,0.08598,0
497,0.08659,0
498,0.0873,0
499,0.08811,0
500,0.08896,0
501,0.08976,0
502,0.09067,0
503,0.09167,0
504,0.09264,0
505,0.0937,0
506,0.09481,0
507,0.09593,0
508,0.09707,0
509,0.09833,0
510,0.09962,0
511,0.10083,0
512,0.10214,0
513,0.10347,0
514,0.10481,0
