wavelength,reflectance,diffuse_transmittance
350,0.06549,0
351,0.06285,0
352,0.06028,0
353,0.06068,0
354,0.05904,0
355,0.05783,0
356,0.05771,0
357,0.05638,0
358,0.05317,0
359,0.05217,0
360,0.05479,0
361,0.05449,0
362,0.05403,0
363,0.05333,0
364,0.05195,0
365,0.05188,0
366,0.05213,0
367,0.05231,0
368,0.05241,0
369,0.05115,0
370,0.05029,0
371,0.05045,0
372,0.05034,0
373,0.05007,0
374,0.04955,0
375,0.04892,0
376,0.04897,0
377,0.0491,0
378,0.04867,0
379,0.04755,0
380,0.04814,0
381,0.04874,0
382,0.04872,0
383,0.0485,0
384,0.04757,0
385,0.04722,0
386,0.04776,0
387,0.04747,0
388,0.04699,0
389,0.0466,0
390,0.04641,0
391,0.04638,0
392,0.0463,0
393,0.04614,0
394,0.04598,0
395,0.04562,0
396,0.04571,0
397,0.04614,0
398,0.04598,0
399,0.0458,0
400,0.0457,0.00028
401,0.04561,0.00027
402,0.04517,0.00026
403,0.0455,0.00025
404,0.04582,0.00024
405,0.04513,0.00023
406,0.04501,0.00023
407,0.04501,0.00023
408,0.04484,0.00023
409,0.04445,0.00023
410,0.04456,0.00023
411,0.04477,0.00023
412,0.04477,0.00023
413,0.04456,0.00023
414,0.04455,0.00023
415,0.04456,0.00023
416,0.04437,0.00024
417,0.04437,0.00024
418,0.04443,0.00025
419,0.04449,0.00025
420,0.04452,0.00025
421,0.04443,0.00025
422,0.04426,0.00025
423,0.04409,0.00025
424,0.04403,0.00025
425,0.04411,0.00026
426,0.04412,0.00026
427,0.04395,0.00026
428,0.04392,0.00026
429,0.04396,0.00026
430,0.04401,0.00025
431,0.04402,0.00025
432,0.04392,0.00025
433,0.04386,0.00025
434,0.04386,0.00025
435,0.0437,0.00025
436,0.04371,0.00025
437,0.04373,0.00025
438,0.04364,0.00025
439,0.04381,0.00025
440,0.04376,0.00026
441,0.04357,0.00027
442,0.0436,0.00028
443,0.04364,0.0003
444,0.04361,0.00032
445,0.04356,0.00034
446,0.04369,0.00036
447,0.04374,0.00038
448,0.04373,0.00041
449,0.04377,0.00045
450,0.0439,0.00049
451,0.04393,0.00054
452,0.04391,0.0006
453,0.04399,0.00066
454,0.04397,0.00072
455,0.04398,0.00078
456,0.04406,0.00084
457,0.04419,0.00091
458,0.04412,0.00098
459,0.04402,0.00104
460,0.04408,0.0011
461,0.04402,0.00116
462,0.04399,0.00122
463,0.04402,0.00127
464,0.04402,0.00132
465,0.04404,0.00139
466,0.04403,0.00144
467,0.044,0.00149
468,0.044,0.00154
469,0.044,0.00158
470,0.04399,0.00163
471,0.04401,0.00166
472,0.04415,0.00169
473,0.04413,0.00172
474,0.04399,0.00175
475,0.04407,0.00177
476,0.04411,0.0018
477,0.04408,0.00183
478,0.04405,0.00186
479,0.04417,0.0019
480,0.04419,0.00194
481,0.04416,0.002
482,0.0442,0.00207
483,0.04423,0.00215
484,0.04426,0.00225
485,0.04429,0.00237
486,0.04427,0.00251
487,0.0444,0.00268
488,0.04449,0.00289
489,0.04446,0.00313
490,0.04459,0.00341
491,0.04475,0.00373
492,0.04489,0.00409
493,0.04497,0.00451
494,0.04512,0.00497
495,0.04529,0.00551
496,0.04549,0.00611
497,0.04571,0.00679
498,0.04594,0.00755
499,0.04619,0.0084
500,0.0465,0.00936
501,0.0469,0.01042
502,0.0474,0.01159
503,0.04793,0.01288
504,0.0484,0.01429
505,0.04909,0.01583
506,0.0499,0.01753
507,0.05078,0.01938
508,0.05181,0.02137
509,0.05294,0.02352
510,0.05419,0.02584
511,0.05561,0.02834
512,0.05722,0.03102
513,0.05896,0.03389
514,0.06083,0.03691
515,0.06291,0.04011
516,0.06517,0.04343
517,0.06756,0.04689
518,0.07007,0.05045
519,0.07273,0.05409
520,0.07542,0.05781
521,0.07815,0.06156
522,0.08093,0.06535
523,0.08368,0.0691
524,0.08638,0.0728
525,0.089,0.07639
526,0.09147,0.07988
527,0.09383,0.08324
528,0.09604,0.08644
529,0.09806,0.08948
530,0.09988,0.09237
531,0.10154,0.0951
532,0.10304,0.09765
533,0.10436,0.10004
534,0.10552,0.10226
535,0.10653,0.10431
536,0.10737,0.10622
537,0.10811,0.10798
538,0.10872,0.10964
539,0.10923,0.11118
540,0.10969,0.11254
541,0.11009,0.11394
542,0.11042,0.11523
543,0.11071,0.11646
544,0.11103,0.11766
545,0.11134,0.11888
546,0.11162,0.12006
547,0.11186,0.12125
548,0.11208,0.12237
549,0.11225,0.12352
550,0.11237,0.12448
551,0.11243,0.12535
552,0.11237,0.12605
553,0.11218,0.12667
554,0.11186,0.12707
555,0.1114,0.12729
556,0.11076,0.1272
557,0.10996,0.127
558,0.10903,0.12648
559,0.10797,0.12574
560,0.10678,0.12489
561,0.10545,0.12386
562,0.10402,0.12267
563,0.10249,0.12132
564,0.10086,0.11982
565,0.09915,0.11819
566,0.09738,0.11642
567,0.09556,0.11453
568,0.09371,0.11252
569,0.09186,0.1104
570,0.09006,0.10827
571,0.08829,0.10603
