wavelength,reflectance,diffuse_transmittance
350,0.08237,0
351,0.08156,0
352,0.07997,0
353,0.07773,0
354,0.07803,0
355,0.07745,0
356,0.07574,0
357,0.07712,0
358,0.07703,0
359,0.07552,0
360,0.07368,0
361,0.07261,0
362,0.07269,0
363,0.0736,0
364,0.07442,0
365,0.07304,0
366,0.07232,0
367,0.0724,0
368,0.07164,0
369,0.07193,0
370,0.07301,0
371,0.07395,0
372,0.07335,0
373,0.07262,0
374,0.07301,0
375,0.07437,0
376,0.07295,0
377,0.07226,0
378,0.07239,0
379,0.07224,0
380,0.07215,0
381,0.07258,0
382,0.07311,0
383,0.07284,0
384,0.07309,0
385,0.07332,0
386,0.07316,0
387,0.07303,0
388,0.07291,0
389,0.07288,0
390,0.07296,0
391,0.07292,0
392,0.07267,0
393,0.07272,0
394,0.07355,0
395,0.07327,0
396,0.073,0
397,0.07314,0
398,0.07295,0
399,0.07312,0
400,0.07309,0
401,0.07271,0
402,0.0733,0
403,0.07332,0
404,0.07312,0
405,0.07347,0
406,0.07347,0
407,0.0733,0
408,0.07331,0
409,0.07376,0
410,0.07359,0
411,0.07336,0
412,0.07349,0
413,0.0738,0
414,0.07402,0
415,0.07416,0
416,0.07428,0
417,0.0741,0
418,0.07419,0
419,0.0745,0
420,0.07458,0
421,0.07477,0
422,0.07498,0
423,0.07511,0
424,0.07513,0
425,0.07521,0
426,0.07536,0
427,0.07557,0
428,0.07573,0
429,0.07603,0
430,0.07639,0
431,0.07655,0
432,0.07649,0
433,0.07661,0
434,0.077,0
435,0.07726,0
436,0.07747,0
437,0.07763,0
438,0.07777,0
439,0.07803,0
440,0.07833,0
441,0.07864,0
442,0.07893,0
443,0.07913,0
444,0.07937,0
445,0.07973,0
446,0.0801,0
447,0.0804,0
448,0.08073,0
449,0.08113,0
450,0.08139,0
451,0.08169,0
452,0.082,0
453,0.08222,0
454,0.08248,0
455,0.08279,0
456,0.08312,0
457,0.08345,0
458,0.08372,0
459,0.08401,0
460,0.08435,0
461,0.08452,0
462,0.08471,0
463,0.08497,0
464,0.08522,0
465,0.08556,0
466,0.08586,0
467,0.08608,0
468,0.08637,0
469,0.08656,0
470,0.08676,0
471,0.08712,0
472,0.08745,0
473,0.08775,0
474,0.08802,0
475,0.08831,0
476,0.08851,0
477,0.08879,0
478,0.08918,0
479,0.08944,0
480,0.08968,0
481,0.08995,0
482,0.09027,0
483,0.09063,0
484,0.09095,0
485,0.09121,0
486,0.09149,0
487,0.09183,0
488,0.09222,0
489,0.09262,0
490,0.09298,0
491,0.09332,0
492,0.09372,0
493,0.09426,0
494,0.0947,0
495,0.09516,0
496,0.0957,0
497,0.09623,0
498,0.09677,0
499,0.09731,0
500,0.09785,0
501,0.0985,0
502,0.09913,0
503,0.09975,0
504,0.10042,0
505,0.10113,0
506,0.1019,0
507,0.10269,0
508,0.10342,0
509,0.10428,0
510,0.10521,0
511,0.1061,0
512,0.10704,0
513,0.10799,0
514,0.10895,0
515,0.10999,0
516,0.11102,0
517,0.11212,0
518,0.1133,0
519,0.11445,0
520,0.11561,0
521,0.11682,0
522,0.11808,0
523,0.11933,0
524,0.12061,0
525,0.12192,0
526,0.12323,0
527,0.12447,0
528,0.12572,0
529,0.12703,0
530,0.12829,0
531,0.12955,0
532,0.13078,0
533,0.13196,0
534,0.13313,0
535,0.13426,0
536,0.13534,0
537,0.13642,0
538,0.13744,0
539,0.13843,0
540,0.13942,0
541,0.14032,0
542,0.14119,0
543,0.14206,0
544,0.14287,0
545,0.14369,0
546,0.14448,0
547,0.14524,0
548,0.14596,0
549,0.14666,0
550,0.14734,0
551,0.14799,0
552,0.14862,0
553,0.14921,0
554,0.14978,0
555,0.15035,0
556,0.15088,0
557,0.15136,0
558,0.1518,0
559,0.15222,0
560,0.1526,0
561,0.15293,0
562,0.15323,0
563,0.15345,0
564,0.15363,0
565,0.1538,0
566,0.15395,0
567,0.15406,0
568,0.15414,0
569,0.15418,0
570,0.1542,0
571,0.15419,0
572,0.15419,0
573,0.15422,0
574,0.1542,0
575,0.15418,0
576,0.15425,0
577,0.15433,0
578,0.15441,0
579,0.1545,0
580,0.15461,0
581,0.15472,0
582,0.15485,0
583,0.15501,0
584,0.15517,0
585,0.15535,0
586,0.15552,0
587,0.15569,0
588,0.15588,0
589,0.15607,0
590,0.15625,0
591,0.15642,0
592,0.1566,0
593,0.15678,0
594,0.157,0
595,0.15722,0
596,0.15746,0
597,0.15774,0
598,0.15808,0
599,0.15839,0
600,0.1587,0
601,0.159,0
602,0.15931,0
603,0.1596,0
604,0.15986,0
605,0.16014,0
606,0.1604,0
607,0.16064,0
608,0.16087,0
609,0.16109,0
610,0.1613,0
611,0.16149,0
612,0.16163,0
613,0.16178,0
614,0.16192,0
615,0.16203,0
616,0.16211,0
617,0.16225,0
618,0.16239,0
619,0.16254,0
620,0.16273,0
621,0.16296,0
622,0.1632,0
623,0.16348,0
624,0.16381,0
625,0.16415,0
626,0.1645,0
627,0.16487,0
628,0.16521,0
629,0.16555,0
630,0.16588,0
631,0.16614,0
632,0.16635,0
633,0.16647,0
634,0.16645,0
635,0.16633,0
636,0.16607,0
637,0.16565,0
638,0.16509,0
639,0.16443,0
640,0.1637,0
641,0.16291,0
642,0.16209,0
643,0.16124,0
644,0.16038,0
645,0.15955,0
646,0.15878,0
647,0.15809,0
648,0.15751,0
