wavelength,reflectance,diffuse_transmittance
350,0.06589,0
351,0.0621,0
352,0.06097,0
353,0.06218,0
354,0.06252,0
355,0.06061,0
356,0.05719,0
357,0.05496,0
358,0.05493,0
359,0.05564,0
360,0.05551,0
361,0.05399,0
362,0.05292,0
363,0.05261,0
364,0.05277,0
365,0.05321,0
366,0.05228,0
367,0.05089,0
368,0.05136,0
369,0.05073,0
370,0.0509,0
371,0.05167,0
372,0.04947,0
373,0.04916,0
374,0.04995,0
375,0.05013,0
376,0.04889,0
377,0.04922,0
378,0.05019,0
379,0.04975,0
380,0.0492,0
381,0.04867,0
382,0.04821,0
383,0.04787,0
384,0.04831,0
385,0.04815,0
386,0.04714,0
387,0.04723,0
388,0.04751,0
389,0.04756,0
390,0.04727,0
391,0.04723,0
392,0.04742,0
393,0.04746,0
394,0.047,0
395,0.04711,0
396,0.04717,0
397,0.04704,0
398,0.04715,0
399,0.0464,0
400,0.04579,0.00039
401,0.04608,0.00037
402,0.04673,0.00035
403,0.04653,0.00034
404,0.04605,0.00033
405,0.04621,0.00032
406,0.04605,0.00032
407,0.0457,0.00031
408,0.04554,0.00031
409,0.04597,0.00031
410,0.04552,0.00031
411,0.04529,0.00031
412,0.04565,0.00031
413,0.04503,0.00031
414,0.04493,0.00031
415,0.04514,0.00032
416,0.04506,0.00032
417,0.04478,0.00033
418,0.04466,0.00034
419,0.04472,0.00034
420,0.04476,0.00035
421,0.04456,0.00034
422,0.04449,0.00034
423,0.04461,0.00034
424,0.04439,0.00035
425,0.04424,0.00035
426,0.04413,0.00035
427,0.044,0.00035
428,0.04408,0.00035
429,0.04413,0.00035
430,0.04404,0.00035
431,0.04384,0.00034
432,0.04393,0.00034
433,0.0439,0.00034
434,0.04362,0.00034
435,0.04351,0.00034
436,0.04365,0.00034
437,0.04382,0.00034
438,0.04381,0.00034
439,0.04374,0.00035
440,0.04373,0.00036
441,0.04377,0.00037
442,0.04372,0.00039
443,0.04369,0.00041
444,0.04366,0.00043
445,0.04367,0.00046
446,0.04381,0.00049
447,0.04389,0.00052
448,0.04395,0.00056
449,0.04406,0.00061
450,0.04399,0.00066
451,0.04408,0.00072
452,0.04426,0.00079
453,0.04425,0.00087
454,0.04421,0.00094
455,0.04422,0.00102
456,0.0443,0.0011
457,0.04443,0.00118
458,0.04443,0.00126
459,0.04442,0.00134
460,0.04454,0.00142
461,0.04452,0.00149
462,0.0445,0.00156
463,0.04446,0.00162
464,0.04436,0.00169
465,0.04433,0.00176
466,0.04439,0.00183
467,0.0445,0.00189
468,0.04453,0.00195
469,0.04447,0.002
470,0.04443,0.00205
471,0.04451,0.00209
472,0.04448,0.00213
473,0.04445,0.00216
474,0.0445,0.00219
475,0.0446,0.00223
476,0.04465,0.00225
477,0.04465,0.00229
478,0.04465,0.00233
479,0.04473,0.00237
480,0.04482,0.00243
481,0.04486,0.00249
482,0.04484,0.00258
483,0.04494,0.00267
484,0.04505,0.00279
485,0.04512,0.00293
486,0.04514,0.00311
487,0.04522,0.0033
488,0.04531,0.00354
489,0.04536,0.00383
490,0.04544,0.00416
491,0.0456,0.00452
492,0.0458,0.00495
493,0.04598,0.00543
494,0.0462,0.00596
495,0.04648,0.00657
496,0.04678,0.00725
497,0.04708,0.00802
498,0.04741,0.00888
499,0.04781,0.00983
500,0.04826,0.0109
501,0.0488,0.01207
502,0.0494,0.01336
503,0.05007,0.01478
504,0.05086,0.01633
505,0.05178,0.01801
506,0.05282,0.01985
507,0.05397,0.02184
508,0.05531,0.02398
509,0.05677,0.02629
510,0.05831,0.02876
511,0.05996,0.03141
512,0.06192,0.03426
513,0.06407,0.03728
514,0.06637,0.04044
515,0.06886,0.04379
516,0.07148,0.04725
517,0.07422,0.05083
518,0.07711,0.05451
519,0.08016,0.05825
520,0.08324,0.06205
521,0.08635,0.06588
522,0.08953,0.06973
523,0.09263,0.07352
524,0.09562,0.07724
525,0.09852,0.08083
526,0.10131,0.08431
527,0.10387,0.08764
528,0.10627,0.09079
529,0.10856,0.09375
530,0.11061,0.09657
531,0.11242,0.09921
532,0.11401,0.10165
533,0.11544,0.10393
534,0.11673,0.10603
535,0.11785,0.10795
536,0.11878,0.10972
537,0.11959,0.11135
538,0.12028,0.11287
539,0.12087,0.11427
540,0.12139,0.11548
541,0.12185,0.11675
542,0.12226,0.1179
543,0.12263,0.119
544,0.12298,0.12007
545,0.12337,0.12116
546,0.12373,0.12221
547,0.12402,0.12328
548,0.1243,0.12429
549,0.12454,0.12533
550,0.12473,0.1262
551,0.12485,0.12697
552,0.12483,0.12759
553,0.12468,0.12813
554,0.1244,0.12847
555,0.12393,0.12864
556,0.12329,0.12851
557,0.12249,0.12828
558,0.12153,0.12776
559,0.12042,0.12702
560,0.11918,0.12618
561,0.11781,0.12517
562,0.11631,0.124
563,0.11472,0.12267
564,0.11302,0.1212
565,0.11123,0.11959
566,0.10935,0.11785
567,0.1074,0.11598
568,0.10544,0.114
569,0.10352,0.11192
570,0.10157,0.10981
571,0.09962,0.1076
572,0.09773,0.10544
573,0.09594,0.10334
574,0.09424,0.10129
575,0.09261,0.09934
576,0.09107,0.09744
577,0.08963,0.0957
578,0.08829,0.09407
579,0.08703,0.09251
580,0.0858,0.09104
581,0.08468,0.08965
582,0.08363,0.08833
583,0.08263,0.08708
584,0.08166,0.08592
585,0.08076,0.08487
586,0.07991,0.08385
587,0.07912,0.08287
588,0.07837,0.08202
589,0.07768,0.08122
590,0.07707,0.08048
591,0.07652,0.07984
592,0.07599,0.07921
593,0.07549,0.07868
594,0.07505,0.07821
595,0.07462,0.07783
596,0.07425,0.07741
597,0.07392,0.07703
598,0.07359,0.07666
599,0.07324,0.07625
600,0.07289,0.07582
601,0.07253,0.07532
602,0.07212,0.07478
603,0.07169,0.07413
604,0.07123,0.07337
605,0.07072,0.07257
606,0.07018,0.07164
607,0.0696,0.0706
608,0.06897,0.0695
609,0.06828,0.06831
610,0.06762,0.06711
611,0.06697,0.0659
612,0.06628,0.06467
613,0.06558,0.06338
614,0.0649,0.06212
615,0.06423,0.0609
616,0.06359,0.05973
617,0.06299,0.05862
618,0.06243,0.05757
619,0.06194,0.05664
620,0.06148,0.05582
621,0.06108,0.05507
622,0.06073,0.05448
623,0.06041,0.05396
624,0.06016,0.0535
625,0.05997,0.05319
626,0.05983,0.05289
627,0.05967,0.0527
628,0.05954,0.05258
629,0.05944,0.05242
630,0.05936,0.05229
631,0.05925,0.0521
632,0.0591,0.05181
633,0.05889,0.05144
634,0.05859,0.05089
635,0.05822,0.05018
636,0.05777,0.04933
637,0.05724,0.04827
638,0.05661,0.04704
639,0.05593,0.04566
640,0.0552,0.04416
641,0.05443,0.04258
642,0.05366,0.04094
643,0.05291,0.03927
644,0.05219,0.0376
645,0.05152,0.03599
646,0.05089,0.03445
647,0.05032,0.03301
648,0.04983,0.03169
649,0.04942,0.03053
650,0.04911,0.02949
651,0.04887,0.02858
652,0.04866,0.02776
653,0.04851,0.02696
654,0.04838,0.02615
655,0.04823,0.02529
656,0.04807,0.02435
657,0.04792,0.02329
658,0.04775,0.02213
659,0.04754,0.0209
660,0.0473,0.01961
661,0.04708,0.01828
662,0.04689,0.01697
663,0.04672,0.01571
664,0.04655,0.01453
665,0.04644,0.01345
666,0.04641,0.01248
667,0.04641,0.01164
668,0.04647,0.01093
669,0.04657,0.01035
670,0.04672,0.00987
671,0.04693,0.00951
672,0.04717,0.00923
673,0.04743,0.00903
674,0.04776,0.00891
675,0.04812,0.00886
676,0.04851,0.00887
677,0.04897,0.00896
678,0.04945,0.00914
679,0.04997,0.00943
680,0.05055,0.00989
681,0.05115,0.01055
682,0.05177,0.01148
683,0.05243,0.01275
684,0.05314,0.01447
685,0.05388,0.01672
686,0.05475,0.01962
687,0.0558,0.0233
688,0.05707,0.02787
689,0.0587,0.03343
690,0.06082,0.04003
691,0.06353,0.04772
692,0.06696,0.05645
693,0.07124,0.06615
694,0.07642,0.07673
695,0.08252,0.08808
696,0.08953,0.09999
697,0.09738,0.11241
698,0.106,0.12509
699,0.11529,0.13791
700,0.12511,0.15077
701,0.13533,0.1636
702,0.14581,0.17607
703,0.15641,0.18831
704,0.16705,0.20019
705,0.17764,0.21168
706,0.18814,0.22276
707,0.1985,0.23354
708,0.20873,0.24403
709,0.21882,0.25413
710,0.22877,0.26405
711,0.23854,0.27366
712,0.24819,0.28306
713,0.25769,0.29225
714,0.26703,0.30126
715,0.2762,0.31004
716,0.28521,0.31862
717,0.29404,0.327
718,0.30268,0.33513
719,0.3111,0.34309
720,0.3193,0.35079
721,0.32725,0.3583
722,0.33496,0.36556
723,0.34244,0.37258
724,0.34964,0.37933
725,0.35653,0.38585
726,0.36314,0.39206
727,0.36947,0.39806
728,0.37548,0.40372
729,0.38119,0.40917
730,0.38659,0.41437
731,0.3917,0.41924
732,0.39653,0.42394
733,0.40105,0.42839
