wavelength,reflectance,diffuse_transmittance
350,0.09301,0
351,0.09132,0
352,0.08941,0
353,0.0902,0
354,0.0881,0
355,0.08603,0
356,0.08548,0
357,0.08509,0
358,0.08394,0
359,0.08353,0
360,0.08401,0
361,0.08086,0
362,0.08034,0
363,0.08122,0
364,0.08055,0
365,0.08052,0
366,0.08031,0
367,0.07981,0
368,0.07951,0
369,0.07975,0
370,0.07976,0
371,0.07925,0
372,0.07871,0
373,0.07992,0
374,0.0801,0
375,0.07791,0
376,0.0784,0
377,0.07983,0
378,0.08035,0
379,0.07896,0
380,0.0792,0
381,0.07872,0
382,0.0776,0
383,0.078,0
384,0.07809,0
385,0.07844,0
386,0.07914,0
387,0.07907,0
388,0.07849,0
389,0.07819,0
390,0.07863,0
391,0.07864,0
392,0.07888,0
393,0.07903,0
394,0.0785,0
395,0.07881,0
396,0.0789,0
397,0.07848,0
398,0.07834,0
399,0.07895,0
400,0.07892,0
401,0.07785,0
402,0.07861,0
403,0.07868,0
404,0.0783,0
405,0.07848,0
406,0.07882,0
407,0.07889,0
408,0.07869,0
409,0.07856,0
410,0.07875,0
411,0.07894,0
412,0.07892,0
413,0.0787,0
414,0.07893,0
415,0.07928,0
416,0.0793,0
417,0.07938,0
418,0.0794,0
419,0.07945,0
420,0.0797,0
421,0.07974,0
422,0.07981,0
423,0.08002,0
424,0.08014,0
425,0.08045,0
426,0.08065,0
427,0.08054,0
428,0.08074,0
429,0.08084,0
430,0.0809,0
431,0.08119,0
432,0.08135,0
433,0.08148,0
434,0.08171,0
435,0.08215,0
436,0.08228,0
437,0.08233,0
438,0.08262,0
439,0.083,0
440,0.08326,0
441,0.08347,0
442,0.08384,0
443,0.08424,0
444,0.08457,0
445,0.08484,0
446,0.08535,0
447,0.0857,0
448,0.08595,0
449,0.08631,0
450,0.087,0
451,0.08735,0
452,0.08745,0
453,0.08786,0
454,0.08831,0
455,0.08871,0
456,0.08903,0
457,0.08938,0
458,0.08956,0
459,0.08975,0
460,0.09014,0
461,0.09042,0
462,0.0906,0
463,0.09081,0
464,0.09126,0
465,0.09157,0
466,0.09179,0
467,0.09201,0
468,0.0923,0
469,0.09246,0
470,0.09268,0
471,0.0931,0
472,0.09332,0
473,0.09346,0
474,0.09365,0
475,0.09401,0
476,0.09437,0
477,0.09464,0
478,0.09484,0
479,0.09527,0
480,0.09561,0
481,0.09583,0
482,0.09606,0
483,0.09647,0
484,0.0969,0
485,0.09722,0
486,0.09743,0
487,0.0978,0
488,0.0983,0
489,0.09881,0
490,0.09931,0
491,0.0998,0
492,0.10035,0
493,0.10101,0
494,0.10156,0
495,0.10217,0
496,0.10289,0
497,0.10361,0
498,0.1043,0
499,0.10503,0
500,0.10586,0
501,0.10683,0
502,0.10773,0
503,0.1086,0
504,0.10956,0
505,0.11055,0
506,0.11157,0
507,0.11265,0
508,0.11375,0
509,0.1149,0
510,0.11611,0
511,0.11735,0
512,0.11862,0
513,0.11987,0
514,0.12114,0
515,0.12252,0
516,0.12388,0
517,0.12529,0
518,0.1268,0
519,0.12824,0
520,0.12971,0
521,0.13122,0
522,0.13271,0
523,0.13424,0
524,0.13575,0
525,0.13722,0
526,0.13872,0
527,0.14018,0
528,0.14164,0
529,0.14311,0
530,0.1445,0
531,0.14589,0
532,0.14727,0
533,0.14859,0
534,0.14995,0
535,0.15124,0
536,0.15243,0
537,0.15366,0
538,0.15484,0
539,0.15597,0
540,0.15707,0
541,0.15813,0
542,0.15918,0
543,0.16023,0
544,0.16123,0
545,0.1622,0
546,0.16314,0
547,0.16406,0
548,0.16499,0
549,0.16589,0
550,0.16676,0
551,0.16761,0
552,0.16842,0
553,0.16918,0
554,0.16991,0
555,0.17065,0
556,0.17132,0
557,0.17193,0
558,0.17251,0
559,0.17305,0
560,0.17353,0
561,0.17396,0
562,0.17434,0
563,0.17465,0
564,0.17489,0
565,0.17509,0
566,0.17527,0
567,0.17541,0
568,0.17551,0
569,0.17559,0
570,0.17564,0
571,0.17566,0
572,0.17569,0
573,0.17574,0
574,0.17578,0
575,0.17582,0
576,0.17592,0
577,0.17604,0
578,0.17615,0
579,0.17627,0
580,0.17642,0
581,0.17655,0
582,0.17669,0
583,0.17685,0
584,0.17703,0
585,0.17722,0
586,0.17739,0
587,0.17755,0
588,0.17775,0
589,0.17793,0
590,0.17811,0
591,0.17833,0
592,0.17858,0
593,0.17886,0
594,0.17919,0
595,0.17954,0
596,0.17988,0
597,0.18025,0
598,0.18066,0
599,0.18107,0
600,0.18145,0
601,0.18182,0
602,0.18223,0
603,0.18256,0
604,0.18284,0
605,0.18319,0
606,0.18349,0
607,0.18374,0
608,0.18394,0
609,0.18419,0
610,0.18442,0
611,0.18461,0
612,0.18476,0
613,0.18491,0
614,0.18505,0
615,0.18516,0
616,0.18525,0
617,0.18539,0
618,0.18556,0
619,0.18573,0
620,0.18595,0
621,0.18622,0
622,0.18653,0
623,0.18687,0
624,0.18726,0
625,0.18766,0
626,0.18809,0
627,0.18858,0
628,0.18906,0
629,0.18952,0
630,0.18996,0
631,0.19036,0
632,0.1907,0
633,0.19093,0
634,0.19106,0
635,0.19105,0
636,0.19085,0
637,0.19045,0
638,0.18991,0
639,0.18923,0
640,0.18839,0
641,0.18741,0
642,0.1864,0
643,0.18533,0
644,0.18423,0
645,0.18316,0
646,0.18215,0
647,0.18123,0
648,0.18048,0
649,0.17998,0
650,0.1797,0
651,0.17965,0
652,0.17983,0
653,0.18016,0
654,0.18055,0
655,0.18092,0
656,0.18117,0
657,0.18126,0
658,0.18116,0
659,0.18082,0
660,0.18023,0
661,0.17949,0
662,0.17864,0
663,0.17766,0
664,0.17667,0
665,0.17571,0
666,0.17479,0
667,0.174,0
668,0.17332,0
669,0.1728,0
670,0.17248,0
671,0.17233,0
672,0.17236,0
673,0.17256,0
674,0.1729,0
675,0.17336,0
676,0.17391,0
677,0.17453,0
678,0.17523,0
679,0.17603,0
680,0.17698,0
681,0.1782,0
682,0.17974,0
683,0.18169,0
684,0.18417,0
685,0.1873,0
686,0.19108,0
687,0.19558,0
688,0.20082,0
689,0.2067,0
690,0.21322,0
691,0.22025,0
692,0.22762,0
693,0.23528,0
694,0.24306,0
695,0.25084,0
696,0.25859,0
697,0.26622,0
698,0.2737,0
699,0.28101,0
700,0.28805,0
701,0.29487,0
702,0.30145,0
703,0.30775,0
704,0.31379,0
705,0.31957,0
706,0.32514,0
707,0.33056,0
708,0.33584,0
709,0.34103,0
710,0.34617,0
711,0.35123,0
712,0.35623,0
713,0.36116,0
714,0.36599,0
715,0.37076,0
716,0.37545,0
717,0.38006,0
718,0.38462,0
719,0.38909,0
720,0.39348,0
721,0.39778,0
722,0.402,0
723,0.40613,0
724,0.41017,0
725,0.4141,0
726,0.41794,0
727,0.42168,0
728,0.4253,0
729,0.42885,0
730,0.43227,0
731,0.43559,0
732,0.43879,0
733,0.44188,0
734,0.44486,0
735,0.44774,0
736,0.45054,0
737,0.45327,0
738,0.45589,0
739,0.45838,0
740,0.46083,0
741,0.46321,0
742,0.46548,0
743,0.46764,0
744,0.46975,0
745,0.47176,0
746,0.47369,0
747,0.47558,0
748,0.47742,0
749,0.47921,0
750,0.48093,0
751,0.48258,0
752,0.48421,0
753,0.48583,0
754,0.48736,0
755,0.48886,0
756,0.49037,0
757,0.49188,0
758,0.49332,0
759,0.49476,0
760,0.49619,0
761,0.4976,0
762,0.499,0
763,0.50037,0
764,0.50172,0
765,0.50306,0
766,0.5044,0
767,0.50572,0
768,0.50703,0
769,0.50833,0
770,0.50964,0
771,0.51094,0
772,0.51222,0
773,0.51352,0
774,0.51481,0
775,0.51609,0
776,0.51741,0
777,0.51869,0
778,0.51997,0
779,0.52127,0
780,0.52256,0
781,0.52385,0
782,0.52514,0
783,0.52644,0
784,0.52771,0
785,0.52897,0
786,0.53025,0
787,0.53156,0
788,0.53282,0
789,0.53407,0
790,0.53533,0
791,0.53661,0
792,0.53789,0
793,0.53917,0
794,0.54043,0
795,0.54169,0
796,0.54293,0
797,0.54418,0
798,0.54546,0
799,0.54665,0
800,0.54788,0
801,0.54914,0
802,0.55039,0
803,0.55163,0
804,0.55287,0
805,0.55412,0
806,0.55533,0
807,0.55656,0
808,0.55778,0
809,0.55896,0
810,0.56017,0
811,0.56139,0
812,0.5626,0
813,0.56379,0
814,0.56499,0
815,0.56616,0
816,0.56731,0
817,0.56847,0
818,0.56966,0
819,0.57085,0
820,0.57202,0
821,0.57313,0
822,0.57425,0
823,0.57538,0
824,0.57652,0
825,0.57762,0
826,0.57872,0
827,0.5798,0
828,0.58083,0
829,0.58185,0
830,0.58289,0
831,0.58394,0
832,0.58498,0
833,0.58605,0
834,0.5871,0
835,0.58814,0
836,0.58919,0
837,0.59022,0
838,0.59124,0
839,0.59227,0
840,0.59332,0
841,0.59438,0
842,0.59543,0
843,0.59647,0
844,0.59751,0
845,0.59854,0
846,0.59956,0
847,0.60059,0
848,0.60156,0
849,0.60253,0
850,0.60352,0
851,0.6045,0
852,0.60549,0
853,0.60645,0
854,0.6074,0
855,0.60835,0
856,0.60931,0
857,0.61026,0
858,0.6112,0
859,0.61215,0
860,0.61309,0
861,0.61401,0
862,0.61489,0
863,0.61581,0
864,0.61673,0
865,0.61764,0
866,0.61853,0
867,0.61945,0
868,0.62039,0
869,0.62133,0
870,0.62221,0
871,0.62309,0
872,0.62399,0
873,0.62492,0
874,0.62583,0
875,0.62675,0
876,0.62766,0
877,0.62856,0
878,0.62944,0
879,0.63032,0
880,0.63121,0
881,0.6321,0
882,0.63296,0
883,0.63381,0
884,0.63466,0
885,0.63552,0
886,0.63637,0
