wavelength,reflectance,diffuse_transmittance
351,0.04164,0
352,0.0426,0
353,0.04424,0
354,0.04244,0
355,0.044,0
356,0.0486,0
357,0.04696,0
358,0.04496,0
359,0.04516,0
360,0.047,0
361,0.04584,0
362,0.04416,0
363,0.04308,0
364,0.04316,0
365,0.04448,0
366,0.04424,0
367,0.04336,0
368,0.04476,0
369,0.04524,0
370,0.04504,0
371,0.044,0
372,0.04248,0
373,0.04384,0
374,0.04504,0
375,0.04368,0
376,0.0456,0
377,0.04472,0
378,0.04248,0
379,0.04368,0
380,0.04916,0
381,0.05148,0
382,0.05024,0
383,0.05224,0
384,0.04824,0
385,0.04592,0
386,0.04836,0
387,0.04644,0
388,0.04348,0
389,0.04292,0
390,0.04536,0
391,0.04868,0
392,0.04912,0
393,0.04716,0
394,0.0468,0
395,0.04836,0
396,0.04792,0
397,0.04616,0
398,0.04904,0
399,0.04868,0
400,0.04836,0
401,0.04988,0
402,0.049,0
403,0.04896,0
404,0.04956,0
405,0.04952,0
406,0.04944,0
407,0.0494,0
408,0.04936,0
409,0.0492,0
410,0.0488,0
411,0.0496,0
412,0.05168,0
413,0.0506,0
414,0.05012,0
415,0.05024,0
416,0.04992,0
417,0.04808,0
418,0.0484,0
419,0.05,0
420,0.05092,0
421,0.0508,0
422,0.05112,0
423,0.05168,0
424,0.0502,0
425,0.05024,0
426,0.05064,0
427,0.05024,0
428,0.04956,0
429,0.04976,0
430,0.05072,0
431,0.05172,0
432,0.05096,0
433,0.05068,0
434,0.05116,0
435,0.05052,0
436,0.05032,0
437,0.05064,0
438,0.05092,0
439,0.05132,0
440,0.05124,0
441,0.05088,0
442,0.05128,0
443,0.05144,0
444,0.0514,0
445,0.05132,0
446,0.05072,0
447,0.05148,0
448,0.05224,0
449,0.05156,0
450,0.05152,0
451,0.052,0
452,0.05272,0
453,0.05244,0
454,0.05204,0
455,0.05196,0
456,0.05256,0
457,0.05288,0
458,0.05304,0
459,0.05296,0
460,0.0526,0
461,0.05204,0
462,0.05212,0
463,0.05264,0
464,0.05236,0
465,0.05304,0
466,0.05332,0
467,0.0526,0
468,0.05304,0
469,0.05344,0
470,0.05364,0
471,0.05384,0
472,0.05348,0
473,0.0534,0
474,0.0536,0
475,0.05368,0
476,0.05376,0
477,0.05356,0
478,0.05324,0
479,0.0536,0
480,0.05408,0
481,0.05396,0
482,0.05388,0
483,0.05404,0
484,0.05432,0
485,0.0546,0
486,0.0546,0
487,0.0552,0
488,0.0554,0
489,0.0546,0
490,0.05488,0
491,0.0552,0
492,0.05524,0
493,0.0548,0
494,0.05568,0
495,0.05616,0
496,0.05572,0
497,0.05632,0
498,0.05636,0
499,0.05664,0
500,0.05724,0
501,0.05756,0
502,0.05812,0
503,0.05884,0
504,0.06,0
505,0.06016,0
506,0.06068,0
507,0.06196,0
508,0.06252,0
509,0.06312,0
510,0.064,0
511,0.06512,0
512,0.06632,0
513,0.06732,0
514,0.06868,0
515,0.07076,0
516,0.07248,0
517,0.0742,0
518,0.07612,0
519,0.07816,0
520,0.08024,0
521,0.08232,0
522,0.08464,0
523,0.08688,0
524,0.08908,0
525,0.09108,0
526,0.09324,0
527,0.0954,0
528,0.0972,0
529,0.0988,0
530,0.10048,0
531,0.10216,0
532,0.10384,0
533,0.1048,0
534,0.1058,0
535,0.10716,0
536,0.10824,0
537,0.10908,0
538,0.10996,0
539,0.1102,0
540,0.11056,0
541,0.11124,0
542,0.11168,0
543,0.11184,0
544,0.11224,0
545,0.1126,0
546,0.11292,0
547,0.11304,0
548,0.11328,0
549,0.1136,0
550,0.11368,0
551,0.114,0
552,0.11404,0
553,0.114,0
554,0.114,0
555,0.1136,0
556,0.11312,0
557,0.11284,0
558,0.11244,0
559,0.11152,0
560,0.11084,0
561,0.11036,0
562,0.10928,0
563,0.10816,0
564,0.10696,0
565,0.1056,0
566,0.1044,0
567,0.1028,0
568,0.10112,0
569,0.1004,0
570,0.09904,0
571,0.09748,0
572,0.0962,0
573,0.09508,0
574,0.09384,0
575,0.0928,0
576,0.09212,0
577,0.09088,0
578,0.09012,0
579,0.08952,0
580,0.08856,0
581,0.08792,0
582,0.0874,0
583,0.08656,0
584,0.086,0
585,0.08528,0
586,0.08468,0
587,0.08468,0
588,0.08404,0
589,0.08344,0
590,0.08328,0
591,0.0824,0
592,0.08216,0
593,0.08196,0
594,0.08116,0
595,0.08096,0
596,0.0808,0
597,0.08064,0
598,0.08104,0
599,0.08096,0
600,0.08044,0
601,0.07984,0
602,0.07964,0
603,0.07984,0
604,0.07976,0
605,0.0794,0
606,0.0792,0
607,0.07884,0
608,0.07844,0
609,0.07808,0
610,0.07764,0
611,0.0772,0
612,0.07688,0
613,0.07676,0
614,0.07628,0
615,0.0756,0
616,0.07556,0
617,0.0748,0
618,0.07452,0
619,0.07504,0
620,0.07488,0
621,0.07432,0
622,0.07396,0
623,0.0742,0
624,0.0744,0
625,0.07424,0
626,0.07432,0
627,0.07448,0
628,0.07428,0
629,0.07404,0
630,0.07356,0
631,0.0738,0
632,0.07404,0
633,0.07416,0
634,0.07388,0
635,0.07388,0
636,0.07364,0
637,0.0732,0
638,0.07308,0
639,0.07268,0
640,0.07188,0
641,0.0712,0
642,0.07076,0
643,0.0702,0
644,0.06968,0
645,0.07016,0
646,0.06968,0
647,0.06912,0
648,0.0696,0
649,0.06912,0
650,0.06892,0
651,0.06888,0
652,0.06872,0
653,0.06888,0
654,0.06904,0
655,0.0692,0
