wavelength,reflectance,diffuse_transmittance
350,0.05993,0
351,0.05961,0
352,0.05926,0
353,0.0589,0
354,0.05877,0
355,0.0582,0
356,0.05689,0
357,0.05499,0
358,0.05504,0
359,0.05502,0
360,0.05362,0
361,0.05332,0
362,0.0528,0
363,0.05223,0
364,0.05193,0
365,0.05031,0
366,0.05014,0
367,0.05092,0
368,0.05014,0
369,0.0496,0
370,0.04972,0
371,0.05006,0
372,0.04927,0
373,0.04914,0
374,0.04946,0
375,0.04954,0
376,0.04876,0
377,0.04882,0
378,0.04922,0
379,0.0488,0
380,0.0479,0
381,0.04768,0
382,0.04795,0
383,0.04754,0
384,0.04718,0
385,0.04729,0
386,0.04782,0
387,0.0481,0
388,0.04763,0
389,0.04663,0
390,0.0457,0
391,0.04576,0
392,0.04628,0
393,0.0465,0
394,0.04585,0
395,0.04607,0
396,0.04603,0
397,0.04549,0
398,0.0454,0
399,0.04549,0
400,0.04551,0.00009
401,0.04532,0.00008
402,0.04514,0.00008
403,0.04478,0.00008
404,0.0445,0.00007
405,0.04452,0.00007
406,0.04401,0.00007
407,0.04376,0.00007
408,0.04385,0.00007
409,0.04378,0.00007
410,0.04382,0.00008
411,0.04349,0.00008
412,0.04286,0.00008
413,0.04309,0.00008
414,0.043,0.00008
415,0.04267,0.00008
416,0.04247,0.00008
417,0.04248,0.00008
418,0.04243,0.00009
419,0.04222,0.00009
420,0.04194,0.00009
421,0.04213,0.00009
422,0.04223,0.00009
423,0.04201,0.00009
424,0.04201,0.00009
425,0.04179,0.00009
426,0.04158,0.00009
427,0.04165,0.00009
428,0.04165,0.00009
429,0.04149,0.00009
430,0.04125,0.00009
431,0.04115,0.00009
432,0.0412,0.00009
433,0.04118,0.00009
434,0.04101,0.00009
435,0.0409,0.00009
436,0.04085,0.00009
437,0.04083,0.00009
438,0.04082,0.00009
439,0.04097,0.00009
440,0.04093,0.00009
441,0.04073,0.0001
442,0.04063,0.0001
443,0.04071,0.00011
444,0.04074,0.00012
445,0.04065,0.00013
446,0.04062,0.00014
447,0.04066,0.00015
448,0.04069,0.00016
449,0.04066,0.00018
450,0.04071,0.0002
451,0.04074,0.00022
452,0.04076,0.00024
453,0.04078,0.00027
454,0.04078,0.0003
455,0.04076,0.00033
456,0.04076,0.00036
457,0.04088,0.00039
458,0.0408,0.00042
459,0.04067,0.00046
460,0.04066,0.00049
461,0.04062,0.00052
462,0.04061,0.00055
463,0.04062,0.00058
464,0.04056,0.0006
465,0.04056,0.00064
466,0.04051,0.00067
467,0.04037,0.00069
468,0.04041,0.00072
469,0.04039,0.00074
470,0.04035,0.00077
471,0.04037,0.00078
472,0.0403,0.0008
473,0.04025,0.00082
474,0.04024,0.00083
475,0.0402,0.00085
476,0.04019,0.00086
477,0.04016,0.00088
478,0.04011,0.00089
479,0.04015,0.00091
480,0.04019,0.00094
481,0.04018,0.00097
482,0.04011,0.00101
483,0.04023,0.00105
484,0.04027,0.00111
485,0.04021,0.00117
