wavelength,reflectance,diffuse_transmittance
350,0.09337,0
351,0.09067,0
352,0.08805,0
353,0.08824,0
354,0.08661,0
355,0.08564,0
356,0.08566,0
357,0.08375,0
358,0.08321,0
359,0.08307,0
360,0.0825,0
361,0.08318,0
362,0.08166,0
363,0.07997,0
364,0.08079,0
365,0.0804,0
366,0.08097,0
367,0.08182,0
368,0.08046,0
369,0.07829,0
370,0.07658,0
371,0.07667,0
372,0.07977,0
373,0.0799,0
374,0.07884,0
375,0.07901,0
376,0.0795,0
377,0.07936,0
378,0.07889,0
379,0.07879,0
380,0.07867,0
381,0.07846,0
382,0.07849,0
383,0.07926,0
384,0.07956,0
385,0.07976,0
386,0.07986,0
387,0.07887,0
388,0.0788,0
389,0.07966,0
390,0.0806,0
391,0.08001,0
392,0.07942,0
393,0.0792,0
394,0.07901,0
395,0.07879,0
396,0.07889,0
397,0.07925,0
398,0.07934,0
399,0.07937,0
400,0.07932,0
401,0.07917,0
402,0.07886,0
403,0.07888,0
404,0.07902,0
405,0.07892,0
406,0.07894,0
407,0.0789,0
408,0.07884,0
409,0.07898,0
410,0.07874,0
411,0.07872,0
412,0.07907,0
413,0.07877,0
414,0.07866,0
415,0.07878,0
416,0.07891,0
417,0.07877,0
418,0.07894,0
419,0.07927,0
420,0.0792,0
421,0.07928,0
422,0.07945,0
423,0.07965,0
424,0.07988,0
425,0.08009,0
426,0.0802,0
427,0.0802,0
428,0.08041,0
429,0.08054,0
430,0.08064,0
431,0.08094,0
432,0.0809,0
433,0.08092,0
434,0.08125,0
435,0.08179,0
436,0.082,0
437,0.08203,0
438,0.08215,0
439,0.08244,0
440,0.08284,0
441,0.08324,0
442,0.0835,0
443,0.08381,0
444,0.08419,0
445,0.08458,0
446,0.08484,0
447,0.08525,0
448,0.0857,0
449,0.08608,0
450,0.08654,0
451,0.08694,0
452,0.08725,0
453,0.08756,0
454,0.08804,0
455,0.0884,0
456,0.0886,0
457,0.08902,0
458,0.08934,0
459,0.08962,0
460,0.08999,0
461,0.09027,0
462,0.09053,0
463,0.09078,0
464,0.09103,0
465,0.09137,0
466,0.0917,0
467,0.09197,0
468,0.09228,0
469,0.0926,0
470,0.0929,0
471,0.09318,0
472,0.0935,0
473,0.09385,0
474,0.09418,0
475,0.09443,0
476,0.09467,0
477,0.09501,0
478,0.09544,0
479,0.09571,0
480,0.096,0
481,0.09634,0
482,0.09665,0
483,0.09702,0
484,0.09739,0
485,0.09778,0
486,0.09831,0
487,0.09876,0
488,0.0992,0
489,0.09972,0
490,0.10026,0
491,0.10086,0
492,0.10148,0
493,0.10207,0
494,0.10279,0
495,0.10351,0
496,0.10421,0
497,0.10507,0
498,0.10588,0
499,0.10673,0
500,0.10769,0
501,0.10865,0
502,0.10958,0
503,0.11057,0
