wavelength,reflectance,diffuse_transmittance
350,0.06176,0
351,0.06046,0
352,0.06016,0
353,0.05963,0
354,0.0579,0
355,0.0567,0
356,0.05631,0
357,0.0549,0
358,0.05367,0
359,0.05319,0
360,0.05336,0
361,0.05301,0
362,0.05225,0
363,0.05124,0
364,0.05029,0
365,0.05004,0
366,0.0497,0
367,0.04943,0
368,0.04986,0
369,0.04959,0
370,0.04922,0
371,0.04897,0
372,0.04811,0
373,0.04778,0
374,0.04789,0
375,0.04806,0
376,0.04796,0
377,0.04797,0
378,0.04798,0
379,0.04767,0
380,0.04686,0
381,0.04654,0
382,0.04679,0
383,0.04683,0
384,0.04672,0
385,0.04649,0
386,0.04624,0
387,0.04613,0
388,0.04596,0
389,0.04568,0
390,0.04536,0
391,0.04535,0
392,0.04529,0
393,0.04516,0
394,0.04505,0
395,0.04502,0
396,0.04501,0
397,0.04495,0
398,0.04483,0
399,0.04476,0
400,0.04459,0.00058
401,0.0443,0.00056
402,0.04428,0.00055
403,0.04436,0.00053
404,0.04442,0.00051
405,0.04434,0.0005
406,0.04396,0.0005
407,0.04386,0.0005
408,0.04399,0.0005
409,0.04376,0.0005
410,0.04376,0.0005
411,0.04373,0.0005
412,0.04355,0.00049
413,0.04356,0.0005
414,0.04351,0.0005
415,0.04342,0.0005
416,0.04336,0.00051
417,0.04327,0.00052
418,0.04318,0.00053
419,0.0431,0.00053
420,0.04303,0.00054
421,0.04301,0.00054
422,0.04303,0.00054
423,0.04303,0.00054
424,0.04294,0.00054
425,0.04287,0.00055
426,0.04282,0.00055
427,0.04278,0.00054
428,0.04274,0.00054
429,0.04269,0.00055
430,0.04263,0.00054
431,0.04259,0.00053
432,0.04258,0.00053
433,0.04252,0.00053
434,0.04242,0.00053
435,0.04236,0.00053
436,0.04233,0.00053
437,0.04232,0.00053
438,0.04232,0.00054
439,0.04236,0.00054
440,0.04235,0.00055
441,0.04231,0.00057
442,0.04236,0.00059
443,0.04238,0.00061
444,0.04238,0.00064
445,0.0424,0.00068
446,0.04253,0.00071
447,0.04256,0.00074
448,0.04258,0.00079
449,0.04268,0.00084
450,0.04272,0.00091
451,0.04279,0.00098
452,0.04289,0.00105
453,0.0429,0.00113
454,0.04295,0.00121
455,0.04301,0.0013
456,0.04308,0.00138
457,0.04312,0.00147
458,0.04313,0.00155
459,0.04311,0.00164
460,0.04308,0.00171
461,0.04308,0.00179
462,0.04312,0.00186
463,0.04314,0.00192
464,0.04308,0.00199
465,0.04305,0.00206
466,0.04305,0.00213
467,0.04306,0.00219
468,0.04308,0.00225
469,0.04301,0.0023
470,0.04294,0.00235
471,0.04297,0.00239
472,0.04305,0.00243
473,0.04305,0.00246
474,0.04299,0.00249
475,0.04304,0.00252
476,0.0431,0.00255
477,0.04313,0.00259
478,0.04312,0.00263
479,0.04318,0.00267
480,0.04325,0.00272
481,0.04328,0.00279
482,0.04326,0.00287
483,0.04328,0.00296
484,0.04335,0.00308
485,0.04345,0.00321
486,0.04348,0.00338
487,0.04357,0.00357
488,0.04368,0.0038
489,0.04376,0.00407
490,0.0439,0.00438
491,0.04407,0.00473
492,0.04424,0.00513
493,0.04441,0.00558
494,0.04461,0.00607
495,0.04484,0.00664
496,0.04512,0.00727
497,0.04544,0.00798
498,0.04578,0.00877
499,0.04614,0.00964
500,0.04658,0.01062
501,0.04708,0.0117
502,0.04767,0.01288
503,0.04833,0.01417
504,0.04902,0.01559
505,0.04983,0.01712
506,0.05074,0.01881
507,0.05175,0.02063
508,0.05288,0.02259
509,0.05412,0.02471
510,0.05549,0.02698
511,0.05702,0.02942
512,0.05872,0.03205
513,0.06054,0.03484
514,0.06251,0.03778
515,0.06466,0.04089
516,0.06693,0.04412
517,0.06934,0.04748
518,0.0719,0.05094
519,0.07455,0.05448
520,0.07727,0.05809
521,0.08003,0.06173
522,0.08281,0.06542
523,0.0856,0.06907
524,0.08833,0.07267
525,0.09097,0.07616
526,0.09349,0.07956
527,0.09586,0.08284
528,0.09808,0.08595
529,0.10016,0.08891
530,0.10205,0.09174
531,0.10374,0.09439
532,0.10526,0.09687
533,0.10664,0.09919
534,0.10784,0.10135
535,0.10889,0.10334
536,0.1098,0.10519
537,0.11057,0.1069
538,0.11122,0.10851
539,0.11178,0.11
540,0.11228,0.11132
541,0.11271,0.11269
542,0.11309,0.11394
543,0.11345,0.11514
544,0.11378,0.11631
545,0.1141,0.11749
546,0.11442,0.11864
547,0.11471,0.11981
548,0.11498,0.1209
549,0.11519,0.12202
550,0.11535,0.12296
551,0.11544,0.12381
552,0.11542,0.12448
553,0.11526,0.12508
554,0.11497,0.12547
555,0.11453,0.12567
556,0.11391,0.12557
557,0.11313,0.12535
558,0.11222,0.12483
559,0.11118,0.12408
560,0.10999,0.12323
561,0.10868,0.12219
562,0.10729,0.12099
563,0.1058,0.11964
564,0.10422,0.11814
565,0.10254,0.1165
566,0.1008,0.11474
567,0.099,0.11286
568,0.09718,0.11086
569,0.09537,0.10877
570,0.09357,0.10665
571,0.0918,0.10444
572,0.09007,0.10228
573,0.08841,0.10018
574,0.08686,0.09814
575,0.08538,0.09619
576,0.08398,0.09429
577,0.08268,0.09256
578,0.08146,0.09094
579,0.0803,0.08939
580,0.07921,0.08793
581,0.0782,0.08655
582,0.07725,0.08524
583,0.07636,0.08401
584,0.07551,0.08285
585,0.07472,0.08182
586,0.07397,0.0808
587,0.07326,0.07983
588,0.07261,0.07899
589,0.07201,0.0782
590,0.07146,0.07746
591,0.07096,0.07683
592,0.0705,0.0762
593,0.07007,0.07568
594,0.0697,0.0752
595,0.06934,0.07482
596,0.06902,0.0744
597,0.06871,0.07403
598,0.06839,0.07366
599,0.06808,0.07324
600,0.06777,0.07282
601,0.06745,0.07232
602,0.06709,0.07178
603,0.06669,0.07115
604,0.06627,0.0704
605,0.06581,0.06961
606,0.06532,0.06871
607,0.06479,0.0677
608,0.06422,0.06662
609,0.06363,0.06547
610,0.06302,0.0643
611,0.06242,0.06313
612,0.0618,0.06194
613,0.06119,0.06069
614,0.06058,0.05947
615,0.05999,0.05829
616,0.05943,0.05716
617,0.0589,0.05609
618,0.05842,0.05508
619,0.05797,0.05418
620,0.05758,0.05339
621,0.05722,0.05267
622,0.05692,0.0521
623,0.05665,0.0516
624,0.05643,0.05116
625,0.05626,0.05085
626,0.05612,0.05056
627,0.05601,0.05037
628,0.05591,0.05025
629,0.05583,0.0501
630,0.05576,0.04997
631,0.05566,0.04978
632,0.05553,0.0495
633,0.05534,0.04914
634,0.05511,0.04862
635,0.05479,0.04794
636,0.05439,0.04712
637,0.05393,0.0461
638,0.05339,0.04494
639,0.05279,0.04362
640,0.05215,0.0422
641,0.05149,0.0407
642,0.05082,0.03915
643,0.05017,0.03757
644,0.04953,0.03599
645,0.04894,0.03446
646,0.04839,0.03301
647,0.04788,0.03165
648,0.04744,0.03041
649,0.04709,0.02931
650,0.04679,0.02833
651,0.04656,0.02748
652,0.04638,0.02671
653,0.04623,0.02595
654,0.0461,0.02519
655,0.04597,0.02438
656,0.04583,0.0235
657,0.04567,0.0225
658,0.04549,0.02142
659,0.04529,0.02027
660,0.04508,0.01905
661,0.04487,0.0178
662,0.04467,0.01658
663,0.04449,0.0154
664,0.04434,0.01429
665,0.04424,0.01327
666,0.04417,0.01237
667,0.04416,0.01158
668,0.0442,0.01091
669,0.04429,0.01036
670,0.04442,0.00991
671,0.04461,0.00956
672,0.04484,0.0093
673,0.04512,0.00912
674,0.04544,0.009
675,0.0458,0.00895
676,0.04621,0.00896
677,0.04666,0.00905
678,0.04716,0.00921
679,0.04771,0.00949
680,0.04831,0.00993
681,0.04893,0.01055
682,0.04961,0.01143
683,0.05031,0.01263
684,0.05106,0.01425
685,0.05187,0.01636
686,0.05277,0.01908
687,0.05382,0.02254
688,0.05507,0.02683
689,0.0566,0.03205
690,0.05852,0.03827
691,0.06093,0.04553
692,0.06394,0.05379
693,0.06768,0.06302
694,0.0722,0.07312
695,0.07755,0.08401
696,0.08375,0.09549
697,0.09076,0.10752
698,0.09855,0.11986
699,0.10703,0.13239
700,0.11611,0.14502
701,0.12567,0.15767
702,0.13557,0.17003
703,0.14571,0.18221
704,0.15599,0.19407
705,0.16631,0.20559
706,0.17661,0.21675
707,0.18686,0.22764
708,0.19703,0.23829
709,0.20711,0.24857
710,0.21709,0.25871
711,0.22696,0.26857
712,0.23672,0.27825
713,0.24635,0.28775
714,0.25586,0.29709
715,0.26523,0.30623
716,0.27446,0.31519
717,0.28352,0.32397
718,0.29242,0.33253
719,0.30113,0.34094
720,0.30963,0.3491
721,0.31793,0.35708
722,0.326,0.36484
723,0.33384,0.37236
724,0.34141,0.37961
725,0.34871,0.38664
726,0.35575,0.39335
727,0.36249,0.39985
728,0.36891,0.406
729,0.37507,0.41194
730,0.38093,0.41761
731,0.38648,0.42295
732,0.39175,0.4281
733,0.39671,0.43299
734,0.4014,0.43754
735,0.40583,0.44182
736,0.40998,0.44587
737,0.41387,0.44969
738,0.4175,0.45328
739,0.42086,0.45663
740,0.42399,0.45976
741,0.42689,0.46266
742,0.42958,0.46538
743,0.43205,0.46786
744,0.43431,0.47018
745,0.43635,0.47236
746,0.4382,0.47434
747,0.43986,0.47615
748,0.44136,0.47783
749,0.4427,0.47937
750,0.44388,0.48077
751,0.44495,0.4821
752,0.44589,0.48341
753,0.44672,0.48466
754,0.44745,0.48585
755,0.44808,0.48702
756,0.44864,0.4881
757,0.44913,0.48916
758,0.44955,0.49016
759,0.4499,0.49111
760,0.4502,0.492
761,0.45046,0.49284
762,0.45067,0.49366
763,0.45082,0.4944
764,0.45093,0.49512
765,0.45102,0.4958
766,0.45107,0.49643
767,0.4511,0.49697
768,0.45111,0.49755
769,0.4511,0.49805
770,0.45108,0.49851
771,0.45104,0.49893
772,0.45099,0.49934
773,0.45095,0.49969
774,0.45091,0.50004
775,0.45085,0.50032
776,0.45082,0.5006
777,0.45076,0.50082
778,0.4507,0.50101
779,0.45067,0.50121
780,0.45063,0.50135
781,0.45059,0.50147
782,0.45055,0.50159
783,0.45052,0.5017
784,0.45049,0.50182
785,0.45045,0.50194
786,0.45043,0.50206
787,0.45042,0.50219
788,0.45038,0.50234
789,0.45036,0.50246
790,0.45034,0.50255
791,0.4503,0.50266
792,0.45029,0.50278
793,0.45026,0.50289
794,0.45021,0.50301
795,0.45018,0.50312
796,0.45017,0.50324
797,0.45016,0.50335
798,0.45015,0.50347
799,0.45014,0.50359
800,0.45013,0.50367
801,0.45011,0.50377
802,0.45009,0.50388
803,0.45007,0.504
804,0.45006,0.50407
805,0.45005,0.50418
806,0.45005,0.50429
807,0.45003,0.5044
808,0.45001,0.50451
809,0.45,0.50458
810,0.44998,0.50469
811,0.44997,0.50476
812,0.44997,0.50486
813,0.44995,0.50493
814,0.44993,0.50503
815,0.4499,0.50513
816,0.44987,0.5052
817,0.44988,0.5053
818,0.44989,0.50536
819,0.4499,0.50546
820,0.4499,0.50553
821,0.4499,0.50562
822,0.44991,0.50567
823,0.44991,0.50577
824,0.4499,0.50586
825,0.44989,0.50595
826,0.44989,0.50599
827,0.4499,0.50608
828,0.4499,0.50613
829,0.4499,0.5062
830,0.4499,0.50628
831,0.44991,0.50633
832,0.44992,0.5064
833,0.44992,0.50644
834,0.44993,0.50649
835,0.44995,0.50655
836,0.44997,0.50663
837,0.44999,0.50668
838,0.45002,0.50678
839,0.45005,0.50683
840,0.45007,0.50692
841,0.45009,0.50698
842,0.45011,0.50707
843,0.45014,0.50712
844,0.45016,0.50722
845,0.45018,0.50727
846,0.4502,0.50736
847,0.45023,0.50742
848,0.45026,0.50751
849,0.45029,0.50756
850,0.45032,0.50766
851,0.45034,0.50771
852,0.45036,0.50777
853,0.45038,0.50782
854,0.4504,0.50791
855,0.45041,0.50796
856,0.45043,0.50801
857,0.45046,0.50807
858,0.45048,0.50816
859,0.45048,0.50821
860,0.45048,0.50829
861,0.45049,0.50838
862,0.45051,0.50843
863,0.45054,0.50852
864,0.45057,0.50857
865,0.45058,0.50862
866,0.45058,0.50862
867,0.45059,0.50867
868,0.45059,0.50872
