wavelength,reflectance,diffuse_transmittance
350,0.08433,0
351,0.08297,0
352,0.08299,0
353,0.08293,0
354,0.08138,0
355,0.08023,0
356,0.08018,0
357,0.08003,0
358,0.07888,0
359,0.07776,0
360,0.07751,0
361,0.07745,0
362,0.07752,0
363,0.0774,0
364,0.07689,0
365,0.0763,0
366,0.07623,0
367,0.07652,0
368,0.07651,0
369,0.07635,0
370,0.07605,0
371,0.07586,0
372,0.07636,0
373,0.07654,0
374,0.07627,0
375,0.07578,0
376,0.07568,0
377,0.07601,0
378,0.07625,0
379,0.07588,0
380,0.07581,0
381,0.07576,0
382,0.07574,0
383,0.07598,0
384,0.07646,0
385,0.07643,0
386,0.07587,0
387,0.07599,0
388,0.0763,0
389,0.07641,0
390,0.07619,0
391,0.07626,0
392,0.0764,0
393,0.07649,0
394,0.07647,0
395,0.07633,0
396,0.07637,0
397,0.07658,0
398,0.07651,0
399,0.07656,0
400,0.07644,0
401,0.07607,0
402,0.07627,0
403,0.07627,0
404,0.0761,0
405,0.07604,0
406,0.07618,0
407,0.07628,0
408,0.07628,0
409,0.07625,0
410,0.07618,0
411,0.07617,0
412,0.07622,0
413,0.07616,0
414,0.07631,0
415,0.07645,0
416,0.07634,0
417,0.07633,0
418,0.0765,0
419,0.07671,0
420,0.07675,0
421,0.07686,0
422,0.077,0
423,0.0771,0
424,0.07716,0
425,0.07727,0
426,0.07743,0
427,0.07761,0
428,0.07768,0
429,0.07778,0
430,0.07792,0
431,0.07801,0
432,0.07814,0
433,0.07825,0
434,0.07838,0
435,0.07867,0
436,0.07888,0
437,0.07903,0
438,0.0792,0
439,0.07939,0
440,0.07963,0
441,0.0799,0
442,0.08017,0
443,0.08046,0
444,0.08075,0
445,0.08103,0
446,0.08133,0
447,0.08169,0
448,0.08204,0
449,0.08233,0
450,0.08267,0
451,0.08302,0
452,0.08335,0
453,0.08363,0
454,0.08391,0
455,0.08421,0
456,0.08451,0
457,0.08475,0
458,0.085,0
459,0.08525,0
460,0.0855,0
461,0.08576,0
462,0.08598,0
463,0.08617,0
464,0.08637,0
465,0.08665,0
466,0.08694,0
467,0.0872,0
468,0.08739,0
469,0.08761,0
470,0.08785,0
471,0.08811,0
472,0.08832,0
473,0.08853,0
474,0.08875,0
475,0.08897,0
476,0.08922,0
477,0.08949,0
478,0.08975,0
479,0.08997,0
480,0.09021,0
481,0.09047,0
482,0.09072,0
483,0.09101,0
484,0.09133,0
485,0.09164,0
486,0.09198,0
487,0.09232,0
488,0.09268,0
489,0.09311,0
490,0.09355,0
491,0.09402,0
492,0.09454,0
493,0.09507,0
494,0.09561,0
495,0.09617,0
496,0.09678,0
497,0.09743,0
498,0.09808,0
499,0.09878,0
500,0.09956,0
501,0.10036,0
502,0.10116,0
503,0.10199,0
504,0.10285,0
505,0.10375,0
506,0.10469,0
507,0.10568,0
508,0.10669,0
509,0.10774,0
510,0.10881,0
511,0.1099,0
512,0.11102,0
513,0.11215,0
514,0.11328,0
515,0.11447,0
516,0.11566,0
517,0.11686,0
518,0.11807,0
519,0.11928,0
520,0.12049,0
521,0.12169,0
522,0.12288,0
523,0.12406,0
524,0.12524,0
525,0.12641,0
526,0.12757,0
527,0.12868,0
528,0.12976,0
529,0.13083,0
530,0.13189,0
531,0.1329,0
532,0.13387,0
533,0.13484,0
534,0.13577,0
535,0.13668,0
536,0.13756,0
537,0.13842,0
538,0.13924,0
539,0.14003,0
540,0.1408,0
541,0.14155,0
542,0.14227,0
543,0.14299,0
544,0.14369,0
545,0.14437,0
546,0.14503,0
547,0.14569,0
548,0.14634,0
549,0.14696,0
550,0.14756,0
551,0.14813,0
552,0.14869,0
553,0.14925,0
554,0.14977,0
555,0.15026,0
556,0.15071,0
