wavelength,reflectance,diffuse_transmittance
350,0.06215,0
351,0.06198,0
352,0.06163,0
353,0.06099,0
354,0.05551,0
355,0.05398,0
356,0.05753,0
357,0.05657,0
358,0.05421,0
359,0.05339,0
360,0.05479,0
361,0.05407,0
362,0.0529,0
363,0.05175,0
364,0.05077,0
365,0.05088,0
366,0.05032,0
367,0.04943,0
368,0.04983,0
369,0.05091,0
370,0.05082,0
371,0.04925,0
372,0.04802,0
373,0.04756,0
374,0.04798,0
375,0.04893,0
376,0.04933,0
377,0.04868,0
378,0.04775,0
379,0.04765,0
380,0.04864,0
381,0.04868,0
382,0.04787,0
383,0.04798,0
384,0.04698,0
385,0.04654,0
386,0.0473,0
387,0.04745,0
388,0.04695,0
389,0.04642,0
390,0.04632,0
391,0.04593,0
392,0.04629,0
393,0.04703,0
394,0.04711,0
395,0.04663,0
396,0.04615,0
397,0.04597,0
398,0.04601,0
399,0.04602,0
400,0.04611,0.0043
401,0.04625,0.00419
402,0.04596,0.00408
403,0.04579,0.00398
404,0.0457,0.00389
405,0.04548,0.00384
406,0.04523,0.00383
407,0.04502,0.00381
408,0.04483,0.0038
409,0.04459,0.00382
410,0.04451,0.00382
411,0.04429,0.00381
412,0.04397,0.0038
413,0.04427,0.00382
414,0.04447,0.00385
415,0.0446,0.00388
416,0.04472,0.00392
417,0.04417,0.00397
418,0.04373,0.00403
419,0.04367,0.00408
420,0.04383,0.0041
421,0.04355,0.0041
422,0.04322,0.0041
423,0.04312,0.0041
424,0.04319,0.00412
425,0.04318,0.00415
426,0.04309,0.00415
427,0.04298,0.00414
428,0.04286,0.00414
429,0.0427,0.00415
430,0.0426,0.00413
431,0.04263,0.00409
432,0.04246,0.00406
433,0.04235,0.00406
434,0.0424,0.00405
435,0.04233,0.00406
436,0.04226,0.00406
437,0.04227,0.00407
438,0.04235,0.0041
439,0.04243,0.00414
440,0.04239,0.0042
441,0.04232,0.00431
442,0.04237,0.00445
443,0.04242,0.00459
444,0.04247,0.00476
445,0.04256,0.00496
446,0.04275,0.00516
447,0.0429,0.00538
448,0.04309,0.00564
449,0.04335,0.00596
450,0.04346,0.00631
451,0.04361,0.00669
452,0.04377,0.00711
453,0.04377,0.00754
454,0.04388,0.00797
455,0.04413,0.0084
456,0.04439,0.00882
457,0.04434,0.00926
458,0.04438,0.00967
459,0.04444,0.01007
460,0.0444,0.01045
461,0.04458,0.0108
462,0.04469,0.01111
463,0.04465,0.01141
464,0.04453,0.01172
465,0.04453,0.01206
466,0.04448,0.01235
467,0.04435,0.01264
468,0.04456,0.01288
469,0.04449,0.01311
470,0.04435,0.01334
471,0.04449,0.01349
472,0.0446,0.01366
473,0.04459,0.01381
474,0.04453,0.01395
475,0.04461,0.01408
476,0.04469,0.0142
477,0.04478,0.01436
478,0.04488,0.01454
479,0.04496,0.0147
480,0.04503,0.01491
481,0.04507,0.01519
482,0.0451,0.01552
483,0.04516,0.0159
484,0.04532,0.01638
485,0.04556,0.01693
486,0.04571,0.01758
487,0.04598,0.01832
488,0.04626,0.0192
489,0.0465,0.02022
490,0.04685,0.02136
491,0.04713,0.0226
492,0.04744,0.02401
493,0.04801,0.02555
494,0.04865,0.02721
495,0.04928,0.02906
496,0.04993,0.03107
497,0.05073,0.03326
498,0.05158,0.03565
499,0.05257,0.0382
500,0.05379,0.04097
501,0.05507,0.04393
502,0.05646,0.04709
503,0.05802,0.05045
504,0.05976,0.05402
505,0.0617,0.05777
506,0.06381,0.06178
507,0.0661,0.06598
508,0.06865,0.07037
509,0.07141,0.07498
510,0.07439,0.07978
511,0.0776,0.0848
512,0.08097,0.09004
513,0.08452,0.09547
514,0.08826,0.10103
515,0.0922,0.10675
516,0.09628,0.11255
517,0.10049,0.11841
518,0.10481,0.12431
519,0.10913,0.13019
520,0.11341,0.13606
521,0.11766,0.14185
522,0.12192,0.14759
523,0.12599,0.15314
524,0.12988,0.15851
525,0.13357,0.16362
526,0.13703,0.16851
527,0.14018,0.17312
528,0.14309,0.17744
529,0.14585,0.18147
530,0.14831,0.18526
531,0.1505,0.18876
532,0.15244,0.19197
533,0.15417,0.19494
534,0.15568,0.19765
535,0.15701,0.20011
536,0.15818,0.20237
537,0.15917,0.20442
538,0.16002,0.20633
539,0.16078,0.20808
540,0.16146,0.20959
541,0.16206,0.21116
542,0.16261,0.21259
543,0.16312,0.21395
544,0.16358,0.21526
545,0.16408,0.2166
546,0.16455,0.2179
547,0.16497,0.21922
548,0.16538,0.22044
549,0.16574,0.22172
550,0.16603,0.22277
551,0.16625,0.22372
552,0.16632,0.22447
553,0.16623,0.22513
554,0.16596,0.22555
555,0.1655,0.22574
556,0.16485,0.22557
557,0.164,0.22529
558,0.16295,0.22463
559,0.16174,0.22371
560,0.16035,0.22267
561,0.1588,0.2214
562,0.15717,0.21992
563,0.15539,0.21825
564,0.15346,0.21639
565,0.1514,0.21434
566,0.14922,0.21213
567,0.14698,0.20975
568,0.14469,0.20721
569,0.14233,0.20453
570,0.13997,0.20181
571,0.13761,0.19892
572,0.13527,0.19609
573,0.13301,0.19333
574,0.13086,0.19062
575,0.12879,0.18802
576,0.1268,0.18547
577,0.1249,0.18314
578,0.12311,0.18093
579,0.12142,0.17881
580,0.11983,0.1768
581,0.11832,0.1749
582,0.11688,0.17308
583,0.11552,0.17136
584,0.11422,0.16973
585,0.11297,0.16828
586,0.11178,0.16684
587,0.11068,0.16546
588,0.10965,0.16427
589,0.1087,0.16313
590,0.10783,0.16207
591,0.10703,0.16115
592,0.10631,0.16025
593,0.10564,0.15949
594,0.105,0.1588
595,0.10443,0.15825
596,0.10391,0.15764
597,0.1034,0.1571
598,0.10287,0.15655
599,0.10235,0.15595
600,0.10181,0.15532
601,0.10122,0.15459
602,0.10059,0.1538
603,0.0999,0.15286
604,0.09915,0.15177
605,0.09832,0.15059
606,0.09738,0.14924
607,0.09638,0.14772
608,0.09533,0.14609
609,0.09422,0.14435
610,0.09307,0.14257
611,0.09191,0.14076
612,0.09073,0.13892
613,0.08954,0.13698
614,0.08837,0.13507
615,0.08722,0.13322
616,0.08611,0.13143
617,0.08505,0.12972
618,0.08406,0.12809
619,0.08316,0.12663
620,0.08236,0.12535
621,0.08163,0.12418
622,0.08099,0.12325
623,0.08046,0.12242
624,0.07999,0.12169
625,0.07961,0.12119
626,0.07932,0.12071
627,0.07909,0.1204
628,0.0789,0.12021
629,0.07873,0.11995
630,0.07856,0.11974
631,0.07836,0.11943
632,0.07809,0.11896
633,0.07773,0.11836
634,0.07724,0.11748
635,0.07656,0.11633
636,0.0757,0.11495
637,0.07468,0.11321
638,0.07347,0.1112
639,0.07211,0.10892
640,0.07063,0.10642
641,0.06906,0.10375
642,0.06745,0.10096
643,0.06584,0.09808
644,0.06423,0.09516
645,0.0627,0.0923
646,0.06125,0.08954
647,0.05992,0.08693
648,0.05875,0.08451
649,0.05774,0.08234
650,0.05688,0.08039
651,0.05616,0.07867
652,0.05557,0.07708
653,0.05506,0.07552
654,0.05458,0.07394
655,0.05408,0.07225
656,0.05356,0.07038
657,0.05296,0.06824
658,0.0523,0.06588
659,0.05156,0.06333
660,0.0508,0.06058
661,0.05,0.05771
662,0.0492,0.05483
663,0.04842,0.05199
664,0.04772,0.04924
665,0.04709,0.04669
666,0.04655,0.04435
667,0.04614,0.04226
668,0.04582,0.04045
669,0.04559,0.03893
670,0.04548,0.03768
671,0.04547,0.03669
672,0.04556,0.03592
673,0.04573,0.03536
674,0.04595,0.035
675,0.04627,0.0348
676,0.04666,0.03479
677,0.04713,0.03498
678,0.04766,0.0354
679,0.04828,0.03612
680,0.049,0.03725
681,0.04985,0.03888
682,0.05083,0.04117
683,0.05194,0.0442
684,0.05325,0.04819
685,0.05489,0.05321
686,0.05688,0.05943
687,0.05935,0.06698
688,0.06246,0.07588
689,0.06634,0.08616
690,0.07113,0.09777
691,0.07693,0.11059
692,0.08379,0.12444
693,0.09171,0.1391
694,0.10063,0.15437
695,0.11042,0.17007
696,0.12099,0.18587
697,0.13215,0.20177
698,0.14375,0.21744
699,0.15564,0.23277
700,0.16766,0.24771
701,0.17965,0.2622
702,0.19149,0.27593
703,0.20307,0.28909
704,0.21432,0.30157
705,0.22517,0.31339
706,0.23562,0.32457
707,0.24568,0.33523
708,0.25534,0.34544
709,0.26464,0.35508
710,0.27359,0.36441
711,0.28222,0.37329
712,0.29053,0.38185
713,0.29851,0.3901
714,0.3062,0.39806
715,0.31363,0.40571
716,0.32078,0.41307
717,0.32764,0.42016
718,0.33425,0.42696
719,0.34061,0.43353
720,0.3467,0.43979
721,0.35249,0.44583
722,0.35805,0.4516
723,0.36336,0.45712
724,0.36838,0.46235
725,0.37313,0.46735
726,0.37767,0.47205
727,0.38195,0.47655
728,0.38597,0.48075
729,0.38977,0.48475
730,0.39333,0.48853
