wavelength,reflectance,diffuse_transmittance
350,0.09242,0
351,0.09247,0
352,0.09364,0
353,0.09254,0
354,0.0927,0
355,0.0941,0
356,0.09497,0
357,0.09229,0
358,0.09196,0
359,0.09284,0
360,0.0932,0
361,0.09385,0
362,0.09214,0
363,0.09018,0
364,0.09073,0
365,0.0913,0
366,0.09182,0
367,0.09229,0
368,0.09265,0
369,0.09278,0
370,0.09404,0
371,0.09539,0
372,0.09267,0
373,0.09273,0
374,0.09409,0
375,0.09425,0
376,0.09295,0
377,0.09292,0
378,0.09379,0
379,0.09416,0
380,0.09484,0
381,0.09514,0
382,0.09495,0
383,0.09473,0
384,0.09543,0
385,0.0957,0
386,0.09512,0
387,0.09512,0
388,0.09571,0
389,0.09589,0
390,0.09526,0
391,0.09633,0
392,0.09661,0
393,0.09656,0
394,0.09772,0
395,0.09718,0
396,0.09668,0
397,0.09701,0
398,0.09739,0
399,0.09704,0
400,0.09706,0
401,0.09795,0
402,0.09796,0
403,0.09837,0
404,0.09858,0
405,0.09782,0
406,0.09742,0
407,0.09791,0
408,0.09867,0
409,0.0984,0
410,0.0987,0
411,0.09895,0
412,0.0988,0
413,0.09896,0
414,0.09909,0
415,0.09935,0
416,0.09981,0
417,0.09984,0
418,0.09982,0
419,0.09998,0
420,0.10038,0
421,0.10063,0
422,0.10068,0
423,0.10069,0
424,0.1011,0
425,0.10135,0
426,0.10152,0
427,0.10179,0
428,0.10215,0
429,0.10229,0
430,0.10235,0
431,0.10272,0
432,0.10302,0
433,0.10332,0
434,0.10359,0
435,0.10362,0
436,0.10389,0
437,0.10427,0
438,0.10456,0
439,0.10479,0
440,0.10512,0
441,0.10548,0
442,0.10572,0
443,0.10605,0
444,0.10646,0
445,0.10692,0
446,0.10742,0
447,0.10777,0
448,0.10813,0
449,0.10862,0
450,0.10894,0
451,0.10928,0
452,0.10974,0
453,0.11025,0
454,0.11064,0
455,0.11099,0
456,0.11132,0
457,0.11145,0
458,0.11186,0
459,0.11227,0
460,0.11237,0
461,0.11277,0
462,0.11314,0
463,0.11339,0
464,0.1136,0
465,0.11385,0
466,0.11415,0
467,0.11447,0
468,0.11478,0
469,0.11493,0
470,0.11502,0
471,0.11521,0
472,0.11561,0
473,0.11589,0
474,0.11603,0
475,0.11625,0
476,0.11654,0
477,0.11677,0
478,0.11694,0
479,0.11726,0
480,0.11757,0
481,0.11785,0
482,0.1181,0
483,0.11838,0
484,0.11865,0
485,0.11896,0
486,0.11941,0
487,0.11989,0
488,0.12033,0
489,0.12076,0
490,0.12129,0
491,0.12193,0
492,0.12256,0
493,0.12306,0
494,0.12376,0
495,0.12447,0
496,0.12512,0
497,0.12583,0
498,0.12657,0
499,0.12744,0
500,0.12844,0
501,0.12926,0
502,0.13017,0
503,0.13115,0
504,0.13206,0
505,0.13313,0
506,0.13419,0
507,0.13519,0
508,0.1363,0
509,0.13749,0
510,0.13869,0
511,0.13983,0
512,0.141,0
513,0.14215,0
514,0.14333,0
515,0.14458,0
516,0.1458,0
517,0.14699,0
518,0.14817,0
519,0.14935,0
520,0.1505,0
521,0.15161,0
522,0.15268,0
523,0.1538,0
524,0.15488,0
525,0.1559,0
526,0.15687,0
527,0.1578,0
528,0.15873,0
529,0.15965,0
530,0.16052,0
531,0.16135,0
532,0.16215,0
533,0.16292,0
534,0.16367,0
535,0.16442,0
536,0.16515,0
537,0.16586,0
538,0.16655,0
539,0.16721,0
540,0.16785,0
541,0.16853,0
542,0.1692,0
543,0.16984,0
544,0.17046,0
545,0.17109,0
546,0.17172,0
547,0.17233,0
548,0.17296,0
549,0.17357,0
550,0.17414,0
551,0.1747,0
552,0.17529,0
553,0.17588,0
554,0.17644,0
555,0.17699,0
556,0.17749,0
557,0.17793,0
558,0.17834,0
559,0.17876,0
